Timestamp,Value
Sep 2015,27
Oct 2015,48.6
Nov 2015,243.6
Dec 2015,240.2
Jan 2016,213.6
Feb 2016,112.2
Mar 2016,37.4
Apr 2016,78.4
May 2016,56
Jun 2016,64.8
Jul 2016,98.4
Aug 2016,80.2
Sep 2016,104.6
Oct 2016,50.8
Nov 2016,69
Dec 2016,107.6
Jan 2017,35
Feb 2017,122.8
Mar 2017,102.2
Apr 2017,9
May 2017,48.6
Jun 2017,142.8
Jul 2017,104.6
Aug 2017,137.8
Sep 2017,98.4
Oct 2017,98
Nov 2017,55.6
Dec 2017,94.4
Jan 2018,143.4
Feb 2018,52.4
Mar 2018,95.6
Apr 2018,71.8
May 2018,28
Jun 2018,49.6
Jul 2018,61.6
Aug 2018,93.8
Sep 2018,110.8
Oct 2018,90.2
Nov 2018,145
Dec 2018,91.6
Jan 2019,38.6
Feb 2019,61
Mar 2019,127.4
Apr 2019,51.6
May 2019,88.8
Jun 2019,87.2
Jul 2019,81.6
Aug 2019,199.2
Sep 2019,131.2
Oct 2019,101.2
Nov 2019,116.6
Dec 2019,142.2
Jan 2020,147.2
Feb 2020,272.4
Mar 2020,85.2
Apr 2020,14
May 2020,34.4
Jun 2020,90.2
Jul 2020,140.8
Aug 2020,178.6
Sep 2020,100
Oct 2020,161
Nov 2020,116.6
Dec 2020,146.2
Jan 2021,110.2
Feb 2021,136.6
Mar 2021,88.6
Apr 2021,9.4
May 2021,107.4
Jun 2021,36.8
Jul 2021,59.8
Aug 2021,48
Sep 2021,100.2
Oct 2021,189.6
Nov 2021,80.6
Dec 2021,103
Jan 2022,56.8
Feb 2022,206.2
Mar 2022,39.2
Apr 2022,45.8
May 2022,79.2
Jun 2022,50.8
Jul 2022,56.6
Aug 2022,131.6
Sep 2022,127.2
Oct 2022,150
Nov 2022,146.8
Dec 2022,133
Jan 2023,134
Feb 2023,69.2
Mar 2023,157
Apr 2023,48.2
May 2023,24
Jun 2023,85.4
Jul 2023,151.6
Aug 2023,80.6
Sep 2023,106.4
Oct 2023,210.6
Nov 2023,103.8
Dec 2023,179
Jan 2024,121.6
Feb 2024,105.6
Mar 2024,109.2
Apr 2024,128
May 2024,107
Jun 2024,64.4
Jul 2024,53
Aug 2024,160
Sep 2024,53.2
Oct 2024,86.2
Nov 2024,48.2
Dec 2024,152.4
Jan 2025,58.6
Feb 2025,58.2
Mar 2025,74
Apr 2025,32.2
May 2025,68.8
Jun 2025,113.4
Jul 2025,52.8
Aug 2025,63.4
