Timestamp,Value
Jun 2015,63.8
Jul 2015,97.6
Aug 2015,56.4
Sep 2015,54.4
Oct 2015,35
Nov 2015,81.2
Dec 2015,168
Jan 2016,102.8
Feb 2016,90.4
Mar 2016,61
Apr 2016,74.6
May 2016,55.6
Jun 2016,69.4
Jul 2016,76.6
Aug 2016,71.6
Sep 2016,67.8
Oct 2016,40
Nov 2016,37.2
Dec 2016,80
Jan 2017,50.4
Feb 2017,55.2
Mar 2017,62.6
Apr 2017,42.8
May 2017,33
Jun 2017,174.4
Jul 2017,58
Aug 2017,126
Sep 2017,100.8
Oct 2017,71.2
Nov 2017,112.4
Dec 2017,83.6
Jan 2018,82.8
Feb 2018,35.2
Mar 2018,48.2
Apr 2018,52
May 2018,45.4
Jun 2018,24.8
Jul 2018,55.6
Aug 2018,35.4
Sep 2018,106.6
Oct 2018,88.4
Nov 2018,29.6
Dec 2018,27.4
Jan 2019,68.2
Feb 2019,44.8
Mar 2019,132
Apr 2019,48
May 2019,134
Jun 2019,106.8
Jul 2019,70.6
Aug 2019,153.4
Sep 2019,61.8
Oct 2019,68.6
Nov 2019,141.8
Dec 2019,92.8
Jan 2020,82.4
Feb 2020,185.8
Mar 2020,43.2
Apr 2020,20
May 2020,51.6
Jun 2020,129.6
Jul 2020,77
Aug 2020,44
Sep 2020,71.6
Oct 2020,194.4
Nov 2020,50.2
Dec 2020,163.2
Jan 2021,101.2
Feb 2021,29.4
Mar 2021,59.4
Apr 2021,60
May 2021,70.4
Jun 2021,24.2
Jul 2021,125.4
Aug 2021,50.2
Sep 2021,74.4
Oct 2021,119.8
Nov 2021,74.8
Dec 2021,60.2
Jan 2022,54
Feb 2022,164.8
Mar 2022,32.6
Apr 2022,88
May 2022,73.8
Jun 2022,20.8
Jul 2022,90.8
Aug 2022,35.8
Sep 2022,74.4
Oct 2022,74.4
Nov 2022,40.2
Dec 2022,64
Jan 2023,93.2
Feb 2023,47
Mar 2023,95.8
Apr 2023,39
May 2023,35
Jun 2023,84.6
Jul 2023,109.2
Aug 2023,94.2
Sep 2023,96.2
Oct 2023,143.8
Nov 2023,100.8
Dec 2023,110.2
Jan 2024,93.6
Feb 2024,114.4
Mar 2024,77.2
Apr 2024,108
May 2024,126.6
Jun 2024,100.4
Jul 2024,88.8
Aug 2024,40.6
Sep 2024,106.2
Oct 2024,69.2
Nov 2024,44.8
Dec 2024,227.2
Jan 2025,61
Feb 2025,29
Mar 2025,47.6
Apr 2025,42.6
May 2025,4.8
