Timestamp,Value
Sep 2015,2.8
Oct 2015,29.2
Nov 2015,121.4
Dec 2015,118.8
Jan 2016,134.6
Feb 2016,36
Mar 2016,22
Apr 2016,62.6
May 2016,16.6
Jun 2016,73.6
Jul 2016,64.2
Aug 2016,43.2
Sep 2016,38.2
Oct 2016,39.4
Nov 2016,71.2
Dec 2016,35.4
Jan 2017,25.6
Feb 2017,46.4
Mar 2017,28.8
Apr 2017,12.2
May 2017,34.4
Jun 2017,149
Jul 2017,61.6
Aug 2017,58.8
Sep 2017,46.2
Oct 2017,33.2
Nov 2017,42.6
Dec 2017,29.6
Jan 2018,45.6
Feb 2018,32.2
Mar 2018,98.4
Apr 2018,41
May 2018,17.8
Jun 2018,49.6
Jul 2018,34.2
Aug 2018,71.2
Sep 2018,45.8
Oct 2018,47.2
Nov 2018,59.4
Dec 2018,27.6
Jan 2019,7.6
Feb 2019,10.6
Mar 2019,59
Apr 2019,32
May 2019,64.4
Jun 2019,52.2
Jul 2019,60.4
Aug 2019,93.8
Sep 2019,59.2
Oct 2019,79.2
Nov 2019,103.4
Dec 2019,48.4
Jan 2020,35
Feb 2020,65.8
Mar 2020,29.2
Apr 2020,2.8
May 2020,22.2
Jun 2020,50.4
Jul 2020,77.2
Aug 2020,58.6
Sep 2020,26.2
Oct 2020,116.6
Nov 2020,30.8
Dec 2020,73.8
Jan 2021,107.8
Feb 2021,71.2
Mar 2021,16.2
Apr 2021,11.2
May 2021,62.8
Jun 2021,28.6
Jul 2021,40.6
Aug 2021,38.6
Sep 2021,55.4
Oct 2021,115.4
Nov 2021,41.8
Dec 2021,62.4
Jan 2022,14.2
Feb 2022,59
Mar 2022,32.6
Apr 2022,33.2
May 2022,37.2
Jun 2022,20.2
Jul 2022,30.2
Aug 2022,11.6
Sep 2022,95
Oct 2022,64.4
Nov 2022,86.8
Dec 2022,64.4
Jan 2023,14.4
Feb 2023,29.6
Mar 2023,59.4
Apr 2023,39.4
May 2023,33.6
Jun 2023,36
Jul 2023,63.2
Aug 2023,19.8
Sep 2023,45
Oct 2023,142.6
Nov 2023,74.2
Dec 2023,99.6
Jan 2024,49.2
Feb 2024,44
Mar 2024,71.4
Apr 2024,74.8
May 2024,70.6
Jun 2024,30.2
Jul 2024,43
Aug 2024,33
Sep 2024,24.2
Oct 2024,49.8
Nov 2024,24.6
Dec 2024,43.4
Jan 2025,34
Feb 2025,17.4
Mar 2025,7.6
Apr 2025,6.2
May 2025,23.4
Jun 2025,70.8
Jul 2025,56
Aug 2025,15.8
