Timestamp,Value
Jul 2016,7.6
Aug 2016,78.4
Sep 2016,144.4
Oct 2016,34
Nov 2016,65.6
Dec 2016,159.4
Jan 2017,77.6
Feb 2017,98
Mar 2017,108.4
Apr 2017,43.6
May 2017,35
Jun 2017,105.2
Jul 2017,55.8
Aug 2017,109.8
Sep 2017,81.8
Oct 2017,161
Nov 2017,152.6
Dec 2017,125
Jan 2018,210.8
Feb 2018,107.8
Mar 2018,42.8
Apr 2018,64.2
May 2018,54.2
Jun 2018,73.4
Jul 2018,76.2
Aug 2018,57.2
Sep 2018,190.6
Oct 2018,151.6
Nov 2018,121
Dec 2018,89.2
Jan 2019,109.4
Feb 2019,130.2
Mar 2019,197.8
Apr 2019,48.4
May 2019,36.8
Jun 2019,68
Jul 2019,80.6
Aug 2019,201
Sep 2019,56
Oct 2019,182.4
Nov 2019,48.2
Dec 2019,189
Jan 2020,344.2
Feb 2020,339
Mar 2020,185.6
Apr 2020,24.8
May 2020,94.2
Jun 2020,131.2
Jul 2020,84.6
Aug 2020,55.8
Sep 2020,121.2
Oct 2020,229.2
Nov 2020,157.2
Dec 2020,229.6
Jan 2021,110.6
Feb 2021,147.4
Mar 2021,205
Apr 2021,51.2
May 2021,83
Jun 2021,20
Jul 2021,98.8
Aug 2021,61.6
Sep 2021,83.4
Oct 2021,189.2
Nov 2021,115.4
Dec 2021,108.4
Jan 2022,133.4
Feb 2022,217.8
Mar 2022,42.2
Apr 2022,61.2
May 2022,123
Jun 2022,55.2
Jul 2022,42.2
Aug 2022,33.2
Sep 2022,59.6
Oct 2022,128.8
Nov 2022,189.8
Dec 2022,102.6
Jan 2023,174.2
Feb 2023,112.2
Mar 2023,89.8
Apr 2023,55.6
May 2023,18
Jun 2023,51
Jul 2023,91.6
Aug 2023,114.4
Sep 2023,169
Oct 2023,161.4
Nov 2023,89.6
Dec 2023,162
Jan 2024,210
Feb 2024,146.8
Mar 2024,83.2
Apr 2024,115.6
May 2024,42.2
Jun 2024,82.2
Jul 2024,56
Aug 2024,153.2
Sep 2024,63.8
Oct 2024,104.6
Nov 2024,73.8
Dec 2024,293.4
Jan 2025,68.2
Feb 2025,127.8
Mar 2025,80
Apr 2025,33.4
May 2025,7.6
