Timestamp,Value























May 2017,11.8
Jun 2017,151.2
Jul 2017,109.8
Aug 2017,150.4
Sep 2017,157
Oct 2017,198.4
Nov 2017,142
Dec 2017,125.2
Jan 2018,209
Feb 2018,70.4
Mar 2018,72.6
Apr 2018,84
May 2018,36.4
Jun 2018,68.8
Jul 2018,88
Aug 2018,127
Sep 2018,130.6
Oct 2018,139
Nov 2018,158
Dec 2018,114.2
Jan 2019,79.4
Feb 2019,93.6
Mar 2019,164.8
Apr 2019,40.8
May 2019,79.4
Jun 2019,67.8
Jul 2019,126.6
Aug 2019,263
Sep 2019,155.4
Oct 2019,170.6
Nov 2019,68.8
Dec 2019,211
Jan 2020,156.6
Feb 2020,278.4
Mar 2020,107.6
Apr 2020,21.2
May 2020,69.6
Jun 2020,147.6
Jul 2020,6.2
Aug 2020,81
Sep 2020,159.2
Oct 2020,213.2
Nov 2020,191.4
Dec 2020,158.6
Jan 2021,132.4
Feb 2021,101.2
Mar 2021,90
Apr 2021,12.4
May 2021,63.8
Jun 2021,51.4
Jul 2021,23.8
Aug 2021,132
Sep 2021,118.6
Oct 2021,268.4
Nov 2021,113.2
Dec 2021,137.6
Jan 2022,108
Feb 2022,238.4
Mar 2022,50.8
Apr 2022,71.2
May 2022,110.8
Jun 2022,83.2
Jul 2022,69.8
Aug 2022,79.4
Sep 2022,140.2
Oct 2022,212.4
Nov 2022,125
Dec 2022,129.6
Jan 2023,191.6
Feb 2023,82.2
Mar 2023,146.6
Apr 2023,66
May 2023,51.4
Jun 2023,38.8
Jul 2023,151.2
Aug 2023,72.4
Sep 2023,139.4
Oct 2023,129.8
Nov 2023,102
Dec 2023,233.8
Jan 2024,69.8
Feb 2024,164.4
Mar 2024,124.4
Apr 2024,143
May 2024,98.8
Jun 2024,59
Jul 2024,72.4
Aug 2024,293.8
Sep 2024,58.2
Oct 2024,115
Nov 2024,23.4
Dec 2024,165.2
Jan 2025,49.8
Feb 2025,89.8
Mar 2025,68
Apr 2025,27.4
May 2025,15.6
