Timestamp,Value
Jun 2015,36
Jul 2015,118.2
Aug 2015,92.4
Sep 2015,35.2
Oct 2015,75.8
Nov 2015,75.2
Dec 2015,106.6
Jan 2016,148.8
Feb 2016,44.8
Mar 2016,38
Apr 2016,96.6
May 2016,25
Jun 2016,117.6
Jul 2016,99.2
Aug 2016,44.4
Sep 2016,28
Oct 2016,58
Nov 2016,62.8
Dec 2016,36.6
Jan 2017,61.8
Feb 2017,68.8
Mar 2017,68.2
Apr 2017,20.8
May 2017,27
Jun 2017,138.4
Jul 2017,81.6
Aug 2017,118.8
Sep 2017,66.8
Oct 2017,52.2
Nov 2017,89.2
Dec 2017,38
Jan 2018,36.6
Feb 2018,41.2
Mar 2018,78.4
Apr 2018,50.8
May 2018,27.2
Jun 2018,34.2
Jul 2018,56.8
Aug 2018,53.2
Sep 2018,38
Oct 2018,98
Nov 2018,112.2
Dec 2018,52.2
Jan 2019,32.8
Feb 2019,29
Mar 2019,49.6
Apr 2019,37.4
May 2019,74
Jun 2019,82.4
Jul 2019,77.2
Aug 2019,64.8
Sep 2019,70.2
Oct 2019,92.8
Nov 2019,122.6
Dec 2019,59.8
Jan 2020,18.8
Feb 2020,90.2
Mar 2020,16.4
Apr 2020,11.4
May 2020,32
Jun 2020,51.2
Jul 2020,104
Aug 2020,137.8
Sep 2020,25.6
Oct 2020,171.6
Nov 2020,38.8
Dec 2020,119.6
Jan 2021,63.2
Feb 2021,66.4
Mar 2021,39.4
Apr 2021,17.2
May 2021,94.4
Jun 2021,24.4
Jul 2021,77
Aug 2021,41.6
Sep 2021,39.8
Oct 2021,119.4
Nov 2021,48.6
Dec 2021,76.8
Jan 2022,18.6
Feb 2022,57
Mar 2022,39.4
Apr 2022,55
May 2022,37
Jun 2022,23.8
Jul 2022,49.8
Aug 2022,34.2
Sep 2022,103.2
Oct 2022,107
Nov 2022,145.2
Dec 2022,81.8
Jan 2023,51.2
Feb 2023,24.8
Mar 2023,75.8
Apr 2023,50.4
May 2023,32.8
Jun 2023,40.8
Jul 2023,22.8
Aug 2023,70.6
Sep 2023,67.8
Oct 2023,163
Nov 2023,87.8
Dec 2023,175.8
Jan 2024,78.2
Feb 2024,57.6
Mar 2024,66.8
Apr 2024,114.4
May 2024,38.4
Jun 2024,46
Jul 2024,79.2
Aug 2024,83
Sep 2024,43.8
Oct 2024,91.4
Nov 2024,23.8
Dec 2024,95.4
Jan 2025,37
Feb 2025,42.4
Mar 2025,31.8
Apr 2025,15
May 2025,1.8
