Timestamp,Value
Jun 2015,53.8
Jul 2015,122.8
Aug 2015,61.4
Sep 2015,26
Oct 2015,62.8
Nov 2015,247.6
Dec 2015,252.8
Jan 2016,179.6
Feb 2016,107.2
Mar 2016,41
Apr 2016,83
May 2016,60.4
Jun 2016,69.4
Jul 2016,130.8
Aug 2016,86.8
Sep 2016,150.4
Oct 2016,69.8
Nov 2016,108.4
Dec 2016,160
Jan 2017,79.2
Feb 2017,222.4
Mar 2017,160.8
Apr 2017,16.2
May 2017,100.8
Jun 2017,238.8
Jul 2017,139.8
Aug 2017,201.8
Sep 2017,130
Oct 2017,128.6
Nov 2017,72.6
Dec 2017,142
Jan 2018,172.6
Feb 2018,58.2
Mar 2018,115.6
Apr 2018,101
May 2018,26.8
Jun 2018,150.8
Jul 2018,42.6
Aug 2018,88.6
Sep 2018,137.8
Oct 2018,94
Nov 2018,171
Dec 2018,102.2
Jan 2019,49.4
Feb 2019,80.6
Mar 2019,153
Apr 2019,45
May 2019,108
Jun 2019,89.8
Jul 2019,128
Aug 2019,174.6
Sep 2019,108
Oct 2019,133
Nov 2019,86
Dec 2019,188.6
Jan 2020,180.8
Feb 2020,298.8
Mar 2020,112.8
Apr 2020,18.8
May 2020,53.6
Jun 2020,126.6
Jul 2020,166.8
Aug 2020,190.6
Sep 2020,96
Oct 2020,160.6
Nov 2020,213
Dec 2020,129.4
Jan 2021,124.6
Feb 2021,134.4
Mar 2021,102.2
Apr 2021,16.6
May 2021,100
Jun 2021,31.2
Jul 2021,62
Aug 2021,76.4
Sep 2021,130
Oct 2021,210
Nov 2021,85
Dec 2021,95.6
Jan 2022,80.6
Feb 2022,251.8
Mar 2022,32.2
Apr 2022,44.6
May 2022,85.2
Jun 2022,63.4
Jul 2022,44.6
Aug 2022,100.6
Sep 2022,127.8
Oct 2022,198.6
Nov 2022,119
Dec 2022,137
Jan 2023,142
Feb 2023,82.6
Mar 2023,163.8
Apr 2023,54.2
May 2023,33.2
Jun 2023,71.6
Jul 2023,143.8
Aug 2023,80.2
Sep 2023,150.8
Oct 2023,196.2
Nov 2023,94
Dec 2023,221
Jan 2024,145.2
Feb 2024,122.8
Mar 2024,141.2
Apr 2024,166.8
May 2024,102.8
Jun 2024,54
Jul 2024,56.6
Aug 2024,200.2
Sep 2024,82.8
Oct 2024,80.6
Nov 2024,51.4
Dec 2024,147
Jan 2025,62
Feb 2025,91.6
Mar 2025,74
Apr 2025,53.2
May 2025,0
