Timestamp,Value
Jun 2015,85.4
Jul 2015,82.2
Aug 2015,83.8
Sep 2015,12.8
Oct 2015,102.6
Nov 2015,174.8
Dec 2015,127.8
Jan 2016,190.8
Feb 2016,85.4
Mar 2016,57.6
Apr 2016,76.4
May 2016,46.4
Jun 2016,46.2
Jul 2016,108
Aug 2016,86.2
Sep 2016,115.4
Oct 2016,49.4
Nov 2016,112.8
Dec 2016,119.6
Jan 2017,72
Feb 2017,85.2
Mar 2017,118.4
Apr 2017,74
May 2017,39.8
Jun 2017,101
Jul 2017,81.8
Aug 2017,78
Sep 2017,118.6
Oct 2017,149
Nov 2017,193
Dec 2017,116.8
Jan 2018,122.4
Feb 2018,39.8
Mar 2018,96.8
Apr 2018,25.8
May 2018,0.6
Jun 2018,26.8
Jul 2018,44.4
Aug 2018,50.4
Sep 2018,138.8
Oct 2018,148.6
Nov 2018,67.8
Dec 2018,91
Jan 2019,115.4
Feb 2019,114.4
Mar 2019,91.4
Apr 2019,31.6
May 2019,70.8
Jun 2019,44.8
Jul 2019,19.8
Aug 2019,117
Sep 2019,116.4
Oct 2019,110.4
Nov 2019,86.2
Dec 2019,119.6
Jan 2020,115
Feb 2020,171.8
Mar 2020,72
Apr 2020,20.2
May 2020,69.8
Jun 2020,34.6
Jul 2020,66
Aug 2020,43.4
Sep 2020,75.2
Oct 2020,120
Nov 2020,32.4
Dec 2020,144.2
Jan 2021,130
Feb 2021,39
Mar 2021,93.6
Apr 2021,51.4
May 2021,92.8
Jun 2021,23.6
Jul 2021,28.8
Aug 2021,36.4
Sep 2021,166
Oct 2021,203.2
Nov 2021,159.6
Dec 2021,59.4
Jan 2022,65.6
Feb 2022,95.6
Mar 2022,21.6
Apr 2022,116.8
May 2022,74
Jun 2022,31.8
Jul 2022,74.6
Aug 2022,63
Sep 2022,114.4
Oct 2022,156.4
Nov 2022,144.2
Dec 2022,129
Jan 2023,154.2
Feb 2023,89.2
Mar 2023,58.2
Apr 2023,41.6
May 2023,30.8
Jun 2023,33.6
Jul 2023,93.8
Aug 2023,115
Sep 2023,103.6
Oct 2023,154.6
Nov 2023,90.6
Dec 2023,236
Jan 2024,152.2
Feb 2024,121.2
Mar 2024,81
Apr 2024,88
May 2024,42.2
Jun 2024,84.2
Jul 2024,46.2
Aug 2024,122.4
Sep 2024,92.2
Oct 2024,108.2
Nov 2024,82.6
Dec 2024,232.6
Jan 2025,86
Feb 2025,35.8
Mar 2025,42
Apr 2025,41.2
May 2025,9
