Timestamp,Value
Jun 2019,82
Jul 2019,118.6
Aug 2019,243.8
Sep 2019,132.4
Oct 2019,172.8
Nov 2019,126.8
Dec 2019,240.6
Jan 2020,248.6
Feb 2020,363.6
Mar 2020,137
Apr 2020,46.4
May 2020,97.6
Jun 2020,184.6
Jul 2020,174.8
Aug 2020,199.6
Sep 2020,128
Oct 2020,227.2
Nov 2020,214.4
Dec 2020,174.8
Jan 2021,112.4
Feb 2021,189.6
Mar 2021,183.2
Apr 2021,22.8
May 2021,128.8
Jun 2021,55
Jul 2021,50.4
Aug 2021,100.2
Sep 2021,134.6
Oct 2021,244
Nov 2021,117.6
Dec 2021,120.2
Jan 2022,67.8
Feb 2022,234.8
Mar 2022,51.8
Apr 2022,40.6
May 2022,105.2
Jun 2022,84.4
Jul 2022,68.6
Aug 2022,113.4
Sep 2022,183.6
Oct 2022,271
Nov 2022,222.4
Dec 2022,158.4
Jan 2023,213
Feb 2023,84
Mar 2023,170.8
Apr 2023,70.2
May 2023,46.2
Jun 2023,68.4
Jul 2023,203.8
Aug 2023,94.4
Sep 2023,194.6
Oct 2023,258.2
Nov 2023,133
Dec 2023,279
Jan 2024,214.8
Feb 2024,134.8
Mar 2024,149.8
Apr 2024,189.2
May 2024,107.4
Jun 2024,73.6
Jul 2024,78
Aug 2024,290.2
Sep 2024,70.4
Oct 2024,127.8
Nov 2024,78.4
Dec 2024,203.6
Jan 2025,76.4
Feb 2025,139
Mar 2025,78
Apr 2025,65.6
May 2025,8.6
