Timestamp,Value
Sep 2015,33.6
Oct 2015,57.6
Nov 2015,286.8
Dec 2015,332.4
Jan 2016,221
Feb 2016,183.8
Mar 2016,67.4
Apr 2016,106.6
May 2016,70.4
Jun 2016,48.8
Jul 2016,106.8
Aug 2016,89.6
Sep 2016,144.4
Oct 2016,34.2
Nov 2016,92.8
Dec 2016,107.2
Jan 2017,50.2
Feb 2017,125.4
Mar 2017,95.2
Apr 2017,23.6
May 2017,39.4
Jun 2017,124.4
Jul 2017,103
Aug 2017,87
Sep 2017,80.8
Oct 2017,132.6
Nov 2017,84.2
Dec 2017,119.4
Jan 2018,188.6
Feb 2018,55.2
Mar 2018,64
Apr 2018,75.4
May 2018,22.2
Jun 2018,69.2
Jul 2018,54.6
Aug 2018,75.2
Sep 2018,98.8
Oct 2018,105.8
Nov 2018,157
Dec 2018,84.8
Jan 2019,45
Feb 2019,66.6
Mar 2019,148
Apr 2019,35
May 2019,53
Jun 2019,68.2
Jul 2019,97
Aug 2019,207.2
Sep 2019,114.8
Oct 2019,135.4
Nov 2019,52.2
Dec 2019,198.4
Jan 2020,167
Feb 2020,315.4
Mar 2020,105.2
Apr 2020,13.6
May 2020,50.8
Jun 2020,123.6
Jul 2020,136.8
Aug 2020,143.2
Sep 2020,82.4
Oct 2020,163
Nov 2020,147.6
Dec 2020,151.4
Jan 2021,115.6
Feb 2021,109.2
Mar 2021,129.2
Apr 2021,9.4
May 2021,75.6
Jun 2021,29.4
Jul 2021,42.8
Aug 2021,62.6
Sep 2021,86.2
Oct 2021,195.6
Nov 2021,83.6
Dec 2021,101.4
Jan 2022,92.6
Feb 2022,242.2
Mar 2022,32.2
Apr 2022,46.2
May 2022,64.2
Jun 2022,3.2
Jul 2022,49.8
Aug 2022,77.8
Sep 2022,88.6
Oct 2022,172
Nov 2022,101
Dec 2022,140
Jan 2023,122.2
Feb 2023,56.8
Mar 2023,107.4
Apr 2023,36.8
May 2023,24.8
Jun 2023,47.6
Jul 2023,119
Aug 2023,69
Sep 2023,110.6
Oct 2023,111.8
Nov 2023,79.4
Dec 2023,136.4
Jan 2024,130.4
Feb 2024,106.2
Mar 2024,124.8
Apr 2024,153.2
May 2024,104
Jun 2024,57.4
Jul 2024,51.4
Aug 2024,219.6
Sep 2024,78.2
Oct 2024,103.2
Nov 2024,61.4
Dec 2024,154.2
Jan 2025,67.4
Feb 2025,93.4
Mar 2025,58.8
Apr 2025,31
May 2025,88.4
Jun 2025,101
Jul 2025,99.8
Aug 2025,58.6
