Timestamp,Value
Jun 2015,66.8
Jul 2015,174.6
Aug 2015,119.4
Sep 2015,42.8
Oct 2015,96.4
Nov 2015,276.8
Dec 2015,434.2
Jan 2016,244.8
Feb 2016,171.6
Mar 2016,95.6
Apr 2016,108.6
May 2016,71.2
Jun 2016,57.8
Jul 2016,107.2
Aug 2016,93.8
Sep 2016,145
Oct 2016,49
Nov 2016,73
Dec 2016,113.8
Jan 2017,69.2
Feb 2017,161.2
Mar 2017,100.8
Apr 2017,18
May 2017,47.4
Jun 2017,163.4
Jul 2017,88.8
Aug 2017,126
Sep 2017,105.6
Oct 2017,130.2
Nov 2017,110.6
Dec 2017,111
Jan 2018,216.2
Feb 2018,97.4
Mar 2018,55.6
Apr 2018,85.6
May 2018,35.6
Jun 2018,77.8
Jul 2018,74
Aug 2018,66.6
Sep 2018,94.2
Oct 2018,96.8
Nov 2018,264
Dec 2018,159.2
Jan 2019,55.8
Feb 2019,107.6
Mar 2019,193
Apr 2019,53.8
May 2019,58
Jun 2019,102.8
Jul 2019,89
Aug 2019,170.8
Sep 2019,144.2
Oct 2019,110.2
Nov 2019,86.4
Dec 2019,186.8
Jan 2020,216.4
Feb 2020,360.6
Mar 2020,106
Apr 2020,16.8
May 2020,51.6
Jun 2020,177.4
Jul 2020,136.8
Aug 2020,142.2
Sep 2020,91.4
Oct 2020,193.8
Nov 2020,179.8
Dec 2020,223.2
Jan 2021,100.8
Feb 2021,228.4
Mar 2021,139.6
Apr 2021,6.4
May 2021,136.6
Jun 2021,27.2
Jul 2021,20.6
Aug 2021,73
Sep 2021,105.6
Oct 2021,262.6
Nov 2021,85
Dec 2021,108
Jan 2022,75
Feb 2022,251.8
Mar 2022,120.8
Apr 2022,44.4
May 2022,66.6
Jun 2022,97.4
Jul 2022,70.8
Aug 2022,75.6
Sep 2022,150.4
Oct 2022,253.4
Nov 2022,301.8
Dec 2022,185.2
Jan 2023,214.2
Feb 2023,38.4
Mar 2023,141.2
Apr 2023,75
May 2023,28
Jun 2023,39.8
Jul 2023,159.8
Aug 2023,81.8
Sep 2023,188.6
Oct 2023,80
Nov 2023,103.6
Dec 2023,226
Jan 2024,156
Feb 2024,112.6
Mar 2024,108.8
Apr 2024,157.2
May 2024,97.2
Jun 2024,70.2
Jul 2024,75.2
Aug 2024,189.2
Sep 2024,52.6
Oct 2024,109
Nov 2024,85.2
Dec 2024,146
Jan 2025,95.4
Feb 2025,151.4
Mar 2025,39.2
Apr 2025,32.2
May 2025,8
