Timestamp,Value
Sep 2015,45.2
Oct 2015,42.8
Nov 2015,342.6
Dec 2015,526.6
Jan 2016,328.8
Feb 2016,194.2
Mar 2016,107.2
Apr 2016,95.2
May 2016,75.4
Jun 2016,89.6
Jul 2016,144
Aug 2016,107
Sep 2016,172.6
Oct 2016,44.2
Nov 2016,90.6
Dec 2016,124.2
Jan 2017,68
Feb 2017,171.8
Mar 2017,231.8
Apr 2017,30
May 2017,112.6
Jun 2017,172
Jul 2017,130.4
Aug 2017,169.6
Sep 2017,150.8
Oct 2017,190.4
Nov 2017,119.4
Dec 2017,138.8
Jan 2018,237.2
Feb 2018,83.6
Mar 2018,106.8
Apr 2018,119.4
May 2018,58.6
Jun 2018,109.8
Jul 2018,72.6
Aug 2018,160.2
Sep 2018,167.8
Oct 2018,127.6
Nov 2018,227.6
Dec 2018,134
Jan 2019,63
Feb 2019,148.4
Mar 2019,247
Apr 2019,51.6
May 2019,72.6
Jun 2019,102
Jul 2019,125.4
Aug 2019,209.2
Sep 2019,174.4
Oct 2019,109
Nov 2019,105
Dec 2019,167.8
Jan 2020,273.6
Feb 2020,391.8
Mar 2020,137.8
Apr 2020,19.2
May 2020,56.6
Jun 2020,195.4
Jul 2020,172
Aug 2020,199.6
Sep 2020,97.2
Oct 2020,197.2
Nov 2020,206.6
Dec 2020,208.2
Jan 2021,121.6
Feb 2021,215
Mar 2021,201.6
Apr 2021,17.8
May 2021,113
Jun 2021,38.8
Jul 2021,33.8
Aug 2021,127.8
Sep 2021,126
Oct 2021,379
Nov 2021,105.2
Dec 2021,125.6
Jan 2022,80.2
Feb 2022,321
Mar 2022,76
Apr 2022,74.4
May 2022,107
Jun 2022,77.8
Jul 2022,106
Aug 2022,97
Sep 2022,151.6
Oct 2022,275.2
Nov 2022,230.4
Dec 2022,183.6
Jan 2023,244.8
Feb 2023,70.2
Mar 2023,227
Apr 2023,63.2
May 2023,48.8
Jun 2023,97.8
Jul 2023,207.2
Aug 2023,138.6
Sep 2023,246
Oct 2023,122
Nov 2023,127.8
Dec 2023,294.2
Jan 2024,209.2
Feb 2024,144.8
Mar 2024,199.8
Apr 2024,180.4
May 2024,114.2
Jun 2024,68.4
Jul 2024,118.6
Aug 2024,324.8
Sep 2024,65.2
Oct 2024,129.2
Nov 2024,84.4
Dec 2024,197.6
Jan 2025,77
Feb 2025,130.6
Mar 2025,60.6
Apr 2025,48
May 2025,115
Jun 2025,175.8
Jul 2025,118
Aug 2025,106.8
