Timestamp,Value
Jun 2015,43.4
Jul 2015,78
Aug 2015,84.2
Sep 2015,37.2
Oct 2015,79
Nov 2015,49.6
Dec 2015,70
Jan 2016,172.8
Feb 2016,47.6
Mar 2016,43
Apr 2016,94.6
May 2016,15.6
Jun 2016,109.6
Jul 2016,140.2
Aug 2016,62.2
Sep 2016,27.6
Oct 2016,78.4
Nov 2016,99
Dec 2016,37.4
Jan 2017,61.2
Feb 2017,81.4
Mar 2017,60.6
Apr 2017,42
May 2017,33.6
Jun 2017,124.2
Jul 2017,76.2
Aug 2017,110.2
Sep 2017,79.8
Oct 2017,69.6
Nov 2017,121.6
Dec 2017,61
Jan 2018,37.6
Feb 2018,37.2
Mar 2018,119.2
Apr 2018,45.6
May 2018,20.4
Jun 2018,27.4
Jul 2018,72.4
Aug 2018,37.6
Sep 2018,43.6
Oct 2018,88.8
Nov 2018,86.2
Dec 2018,59.4
Jan 2019,44
Feb 2019,21.2
Mar 2019,55.2
Apr 2019,35.8
May 2019,80.8
Jun 2019,83.2
Jul 2019,66
Aug 2019,73.2
Sep 2019,88.6
Oct 2019,77.6
Nov 2019,145.4
Dec 2019,56.4
Jan 2020,31.6
Feb 2020,59.4
Mar 2020,13.2
Apr 2020,12.4
May 2020,45.6
Jun 2020,59.6
Jul 2020,93.2
Aug 2020,64.2
Sep 2020,32.4
Oct 2020,226
Nov 2020,28.4
Dec 2020,158.6
Jan 2021,94.6
Feb 2021,41.2
Mar 2021,29.2
Apr 2021,35
May 2021,89.4
Jun 2021,19.8
Jul 2021,40.6
Aug 2021,45.6
Sep 2021,56
Oct 2021,142.2
Nov 2021,70.2
Dec 2021,73.2
Jan 2022,31
Feb 2022,60.4
Mar 2022,46.6
Apr 2022,68
May 2022,50.4
Jun 2022,19.4
Jul 2022,50.2
Aug 2022,34
Sep 2022,93.8
Oct 2022,99
Nov 2022,135.8
Dec 2022,109.8
Jan 2023,67
Feb 2023,27
Mar 2023,65.4
Apr 2023,45.8
May 2023,51.4
Jun 2023,58.4
Jul 2023,98.2
Aug 2023,39.8
Sep 2023,43.6
Oct 2023,174.8
Nov 2023,96.6
Dec 2023,184.2
Jan 2024,76
Feb 2024,69.8
Mar 2024,71.2
Apr 2024,89.8
May 2024,35.4
Jun 2024,37.8
Jul 2024,105.4
Aug 2024,58.4
Sep 2024,47.4
Oct 2024,77.8
Nov 2024,41.2
Dec 2024,107.2
Jan 2025,52.2
Feb 2025,30.2
Mar 2025,37
Apr 2025,7.6
May 2025,6.8
