Timestamp,Value
Jun 2015,86.6
Jul 2015,142.4
Aug 2015,138.6
Sep 2015,28.2
Oct 2015,92.6
Nov 2015,250.4
Dec 2015,177.2
Jan 2016,176.4
Feb 2016,100.4
Mar 2016,68
Apr 2016,79.8
May 2016,76.4
Jun 2016,64
Jul 2016,143.2
Aug 2016,137.2
Sep 2016,153.4
Oct 2016,47.4
Nov 2016,117.6
Dec 2016,126.6
Jan 2017,145.8
Feb 2017,151.2
Mar 2017,122.4
Apr 2017,42.4
May 2017,59.2
Jun 2017,126.2
Jul 2017,103
Aug 2017,127.6
Sep 2017,128
Oct 2017,166.8
Nov 2017,117.8
Dec 2017,110
Jan 2018,192.6
Feb 2018,97.4
Mar 2018,88
Apr 2018,9.8
May 2018,23.4
Jun 2018,51.6
Jul 2018,76.8
Aug 2018,132.8
Sep 2018,114.8
Oct 2018,101.8
Nov 2018,140.6
Dec 2018,143
Jan 2019,79.2
Feb 2019,79.8
Mar 2019,138.8
Apr 2019,27.6
May 2019,65.2
Jun 2019,92.2
Jul 2019,188.4
Aug 2019,189.4
Sep 2019,137.6
Oct 2019,142.4
Nov 2019,91.6
Dec 2019,87.8
Jan 2020,117.4
Feb 2020,228
Mar 2020,90
Apr 2020,17.4
May 2020,56.4
Jun 2020,100.4
Jul 2020,107.4
Aug 2020,104.6
Sep 2020,148.4
Oct 2020,183.4
Nov 2020,134.2
Dec 2020,118.8
Jan 2021,133
Feb 2021,126.4
Mar 2021,89.6
Apr 2021,15
May 2021,69.2
Jun 2021,68.2
Jul 2021,30.2
Aug 2021,3.8
Sep 2021,99.2
Oct 2021,152.6
Nov 2021,99.8
Dec 2021,109
Jan 2022,70.2
Feb 2022,180.2
Mar 2022,23
Apr 2022,84.2
May 2022,95.4
Jun 2022,93
Jul 2022,90.6
Aug 2022,50.8
Sep 2022,136.4
Oct 2022,182.6
Nov 2022,125.6
Dec 2022,126
Jan 2023,136.4
Feb 2023,48.4
Mar 2023,147.2
Apr 2023,77.8
May 2023,50
Jun 2023,93.4
Jul 2023,160.6
Aug 2023,97.4
Sep 2023,176
Oct 2023,151.8
Nov 2023,125.2
Dec 2023,241.8
Jan 2024,109.4
Feb 2024,135
Mar 2024,93.8
Apr 2024,129.4
May 2024,73.6
Jun 2024,52.2
Jul 2024,70.2
Aug 2024,218.4
Sep 2024,69.6
Oct 2024,92
Nov 2024,66.6
Dec 2024,181.2
Jan 2025,78.6
Feb 2025,66.4
Mar 2025,44.4
Apr 2025,72.4
May 2025,16.4
