Timestamp,Value
Jun 2015,0
Jul 2015,0
Aug 2015,64.8
Sep 2015,33.6
Oct 2015,52.8
Nov 2015,170.4
Dec 2015,184.2
Jan 2016,177.6
Feb 2016,79
Mar 2016,30.4
Apr 2016,89.4
May 2016,37
Jun 2016,88
Jul 2016,59
Aug 2016,54
Sep 2016,50.6
Oct 2016,54
Nov 2016,46.2
Dec 2016,65
Jan 2017,24.6
Feb 2017,95.6
Mar 2017,64.8
Apr 2017,4.4
May 2017,46.6
Jun 2017,128.6
Jul 2017,75.8
Aug 2017,93.8
Sep 2017,72.6
Oct 2017,60.8
Nov 2017,51.8
Dec 2017,52.4
Jan 2018,90.2
Feb 2018,29.8
Mar 2018,99.6
Apr 2018,73.2
May 2018,32
Jun 2018,40.2
Jul 2018,49.6
Aug 2018,71.6
Sep 2018,61
Oct 2018,52.2
Nov 2018,123.8
Dec 2018,54.4
Jan 2019,12.2
Feb 2019,32.8
Mar 2019,85
Apr 2019,52.2
May 2019,86.8
Jun 2019,91.4
Jul 2019,109.4
Aug 2019,168.4
Sep 2019,95.2
Oct 2019,107.4
Nov 2019,110
Dec 2019,55.6
Jan 2020,73.6
Feb 2020,183.8
Mar 2020,43.2
Apr 2020,13
May 2020,19.8
Jun 2020,87.6
Jul 2020,102.2
Aug 2020,212.8
Sep 2020,55.8
Oct 2020,133.4
Nov 2020,83
Dec 2020,118.6
Jan 2021,90.8
Feb 2021,109.2
Mar 2021,43
Apr 2021,10.8
May 2021,140.8
Jun 2021,22
Jul 2021,59.6
Aug 2021,56.4
Sep 2021,63.4
Oct 2021,151.6
Nov 2021,7



Mar 2022,15.6
Apr 2022,36.2
May 2022,47.2
Jun 2022,41.2
Jul 2022,27.4
Aug 2022,69.4
Sep 2022,100.4
Oct 2022,126.8
Nov 2022,154.2
Dec 2022,118.8
Jan 2023,76
Feb 2023,28.6
Mar 2023,111.8
Apr 2023,34.8
May 2023,21.6
Jun 2023,63.6
Jul 2023,117.4
Aug 2023,67
Sep 2023,101
Oct 2023,262.8
Nov 2023,84.2
Dec 2023,121.4
Jan 2024,107.8
Feb 2024,65.8
Mar 2024,95.2
Apr 2024,109.4
May 2024,116.2
Jun 2024,38.6
Jul 2024,58.2
Aug 2024,78.2
Sep 2024,24
Oct 2024,66.4
Nov 2024,34.4
Dec 2024,98
Jan 2025,32.2
Feb 2025,47.2
Mar 2025,30.6
Apr 2025,24.2
May 2025,6.8
