Timestamp,Value
Jun 2015,52.6
Jul 2015,96.4
Aug 2015,46.6
Sep 2015,51
Oct 2015,42.4
Nov 2015,135.8
Dec 2015,264.2
Jan 2016,154.2
Feb 2016,136.8
Mar 2016,73.4
Apr 2016,76.2
May 2016,47.8
Jun 2016,62.8
Jul 2016,66.4
Aug 2016,90.6
Sep 2016,71.8
Oct 2016,32
Nov 2016,58
Dec 2016,98.8
Jan 2017,68.2
Feb 2017,60.2
Mar 2017,89.6
Apr 2017,48.6
May 2017,37.4
Jun 2017,104
Jul 2017,55.2
Aug 2017,104.6
Sep 2017,72.2
Oct 2017,89.2
Nov 2017,119.2
Dec 2017,107.8
Jan 2018,113.4
Feb 2018,61.8
Mar 2018,37.8
Apr 2018,30.8
May 2018,35.4
Jun 2018,28.4
Jul 2018,54.2
Aug 2018,46.2
Sep 2018,136.2
Oct 2018,100.4
Nov 2018,47.2
Dec 2018,52.8
Jan 2019,75.8
Feb 2019,28.4
Mar 2019,144.4
Apr 2019,67.2
May 2019,134.6
Jun 2019,82
Jul 2019,100.8
Aug 2019,193.2
Sep 2019,51
Oct 2019,84.6
Nov 2019,91.8
Dec 2019,117.4
Jan 2020,147.6
Feb 2020,225.4
Mar 2020,70
Apr 2020,24.2
May 2020,51.4
Jun 2020,126.4
Jul 2020,89.2
Aug 2020,49.4
Sep 2020,83
Oct 2020,192.6
Nov 2020,71.6
Dec 2020,189.4
Jan 2021,112
Feb 2021,40
Mar 2021,95.4
Apr 2021,35.8
May 2021,50.6
Jun 2021,13.8
Jul 2021,91.2
Aug 2021,57.2
Sep 2021,66.8
Oct 2021,138.6
Nov 2021,80.4
Dec 2021,68.4
Jan 2022,98.6
Feb 2022,178.4
Mar 2022,33.4
Apr 2022,73.2
May 2022,89.2
Jun 2022,14.2
Jul 2022,67.8
Aug 2022,31.4
Sep 2022,71
Oct 2022,85
Nov 2022,58.4
Dec 2022,81.4
Jan 2023,144.2
Feb 2023,67.8
Mar 2023,74.2
Apr 2023,50.8
May 2023,23
Jun 2023,37.4
Jul 2023,124.8
Aug 2023,153.8
Sep 2023,121.2
Oct 2023,148.6
Nov 2023,98.4
Dec 2023,123.2
Jan 2024,118.8
Feb 2024,144.4
Mar 2024,66.8
Apr 2024,100
May 2024,95.6
Jun 2024,95.4
Jul 2024,67
Aug 2024,57
Sep 2024,94.2
Oct 2024,93.4
Nov 2024,75.6
Dec 2024,223.6
Jan 2025,88.8
Feb 2025,52.6
Mar 2025,59.6
Apr 2025,44.6
May 2025,13.2
