Timestamp,Value
Jun 2015,41.8
Jul 2015,74.6
Aug 2015,103.6
Sep 2015,53
Oct 2015,92.8
Nov 2015,58.6
Dec 2015,79.8
Jan 2016,151.2
Feb 2016,61.6
Mar 2016,43.8
Apr 2016,91.6
May 2016,26.8
Jun 2016,121.4
Jul 2016,95.8
Aug 2016,59
Sep 2016,33.4
Oct 2016,67.2
Nov 2016,73.4
Dec 2016,36
Jan 2017,71.6
Feb 2017,80.6
Mar 2017,68.2
Apr 2017,43.6
May 2017,32.6
Jun 2017,61.8
Jul 2017,79.4
Aug 2017,100.4
Sep 2017,97.8
Oct 2017,85.2
Nov 2017,127.4
Dec 2017,91.2
Jan 2018,38.4
Feb 2018,37.8
Mar 2018,90.8
Apr 2018,41.2
May 2018,27.8
Jun 2018,27.6
Jul 2018,58
Aug 2018,57.8
Sep 2018,71.6
Oct 2018,88
Nov 2018,71.8
Dec 2018,54.2
Jan 2019,55.8
Feb 2019,35.2
Mar 2019,67
Apr 2019,41.2
May 2019,68
Jun 2019,80.4
Jul 2019,68.4
Aug 2019,67.8
Sep 2019,91.6
Oct 2019,85
Nov 2019,125
Dec 2019,70.4
Jan 2020,31.6
Feb 2020,71.6
Mar 2020,15
Apr 2020,6.4
May 2020,34.8
Jun 2020,68.6
Jul 2020,117
Aug 2020,66.6
Sep 2020,36.2
Oct 2020,198.2
Nov 2020,34.4
Dec 2020,147.6
Jan 2021,115.2
Feb 2021,31.4
Mar 2021,45
Apr 2021,36.4
May 2021,45.4
Jun 2021,20.4
Jul 2021,64.4
Aug 2021,35.4
Sep 2021,52.8
Oct 2021,166.2
Nov 2021,78
Dec 2021,70.8
Jan 2022,57.8
Feb 2022,75.4
Mar 2022,41
Apr 2022,60.4
May 2022,49
Jun 2022,26
Jul 2022,47.4
Aug 2022,25.8
Sep 2022,84.4
Oct 2022,105.6
Nov 2022,90.8
Dec 2022,89.2
Jan 2023,81.6
Feb 2023,27.8
Mar 2023,80.6
Apr 2023,43
May 2023,35.8
Jun 2023,73
Jul 2023,91
Aug 2023,27.6
Sep 2023,38
Oct 2023,128.4
Nov 2023,92.6
Dec 2023,148.4
Jan 2024,87.4
Feb 2024,67.2
Mar 2024,74.4
Apr 2024,108.8
May 2024,38.4
Jun 2024,48.4
Jul 2024,133.8
Aug 2024,78.8
Sep 2024,57.2
Oct 2024,81.4
Nov 2024,61.8
Dec 2024,108.4
Jan 2025,46.6
Feb 2025,28.2
Mar 2025,42.8
Apr 2025,15.2
May 2025,4.8
