Timestamp,Value
Sep 2015,38
Oct 2015,34.8
Nov 2015,135.8
Dec 2015,110
Jan 2016,267.6
Feb 2016,154.4
Mar 2016,60.2
Apr 2016,108
May 2016,43
Jun 2016,56.6
Jul 2016,119.6
Aug 2016,80.2
Sep 2016,73.4
Oct 2016,66.8
Nov 2016,100.6
Dec 2016,119
Jan 2017,107.6
Feb 2017,77.8
Mar 2017,105.2
Apr 2017,85.8
May 2017,44.8
Jun 2017,129
Jul 2017,74.8
Aug 2017,73.6
Sep 2017,145.6
Oct 2017,124
Nov 2017,235
Dec 2017,142.6
Jan 2018,113.8
Feb 2018,44
Mar 2018,98
Apr 2018,43
May 2018,32
Jun 2018,26.6
Jul 2018,57.6
Aug 2018,53.6
Sep 2018,141.8
Oct 2018,134.2
Nov 2018,61.6
Dec 2018,81.6
Jan 2019,122.4
Feb 2019,66.4
Mar 2019,127.6
Apr 2019,57.4
May 2019,112.8
Jun 2019,92
Jul 2019,90.4
Aug 2019,210.2
Sep 2019,70.6
Oct 2019,88.4
Nov 2019,163.2
Dec 2019,91.4
Jan 2020,94.2
Feb 2020,140.6
Mar 2020,53.4
Apr 2020,34.2
May 2020,79.4
Jun 2020,82
Jul 2020,78.2
Aug 2020,29.2
Sep 2020,71.6
Oct 2020,171.6
Nov 2020,63
Dec 2020,144.2
Jan 2021,130
Feb 2021,39
Mar 2021,93.6
Apr 2021,51.4
May 2021,92.8
Jun 2021,23.6
Jul 2021,28.8
Aug 2021,36.4
Sep 2021,74.6
Oct 2021,15.4

Dec 2021,46.8
Jan 2022,65.6
Feb 2022,95.6
Mar 2022,25.4
Apr 2022,122.2
May 2022,79.6
Jun 2022,21.4
Jul 2022,78.2
Aug 2022,55
Sep 2022,109.6
Oct 2022,86.2
Nov 2022,120.4
Dec 2022,142.6
Jan 2023,151.4
Feb 2023,75
Mar 2023,86.8
Apr 2023,53.8
May 2023,22.8
Jun 2023,51.8
Jul 2023,98.4
Aug 2023,102
Sep 2023,86.8
Oct 2023,205.2
Nov 2023,105
Dec 2023,228.8
Jan 2024,154.8
Feb 2024,86.4
Mar 2024,62
Apr 2024,80.6
May 2024,52.4
Jun 2024,76.8
Jul 2024,58.6
Aug 2024,50.2
Sep 2024,86
Oct 2024,76.4
Nov 2024,98.6
Dec 2024,204.2
Jan 2025,104.8
Feb 2025,19.8
Mar 2025,57.6
Apr 2025,35.8
May 2025,41.8
Jun 2025,97.2
Jul 2025,30
Aug 2025,54.2
