Timestamp,Value
Jun 2015,53
Jul 2015,181.2
Aug 2015,109.6
Sep 2015,48.6
Oct 2015,112.2
Nov 2015,133
Dec 2015,296.6
Jan 2016,381.6
Feb 2016,90
Mar 2016,65
Apr 2016,80.6
May 2016,48
Jun 2016,83.8
Jul 2016,106
Aug 2016,58
Sep 2016,95.8
Oct 2016,75.6
Nov 2016,64.8
Dec 2016,84.6
Jan 2017,51.2
Feb 2017,132.8
Mar 2017,85.6
Apr 2017,19.4
May 2017,47.6
Jun 2017,88.2
Jul 2017,71.6
Aug 2017,105
Sep 2017,136.8
Oct 2017,79.6
Nov 2017,80
Dec 2017,38.2
Jan 2018,79.4
Feb 2018,40
Mar 2018,109.4
Apr 2018,53.2
May 2018,52.2
Jun 2018,45.2
Jul 2018,58.8
Aug 2018,55.8
Sep 2018,85.4
Oct 2018,86.8
Nov 2018,227.4
Dec 2018,97.8
Jan 2019,38.6
Feb 2019,44
Mar 2019,108
Apr 2019,43.2
May 2019,133.8
Jun 2019,107.4
Jul 2019,117.6
Aug 2019,154.2
Sep 2019,88.4
Oct 2019,67
Nov 2019,114.2
Dec 2019,133.4
Jan 2020,88.4
Feb 2020,223.2
Mar 2020,51.4
Apr 2020,16.4
May 2020,36.6
Jun 2020,113.2
Jul 2020,111.2
Aug 2020,164.2
Sep 2020,64.4
Oct 2020,198.8
Nov 2020,94
Dec 2020,161.2
Jan 2021,50
Feb 2021,169.6
Mar 2021,62.6
Apr 2021,19.6
May 2021,138
Jun 2021,23.6
Jul 2021,77.2
Aug 2021,103.2
Sep 2021,80.8
Oct 2021,162
Nov 2021,67.2
Dec 2021,93.2
Jan 2022,38.8
Feb 2022,113.4
Mar 2022,120
Apr 2022,62.6
May 2022,88.6
Jun 2022,86.6
Jul 2022,55.8
Aug 2022,80.4
Sep 2022,153.2
Oct 2022,141.8
Nov 2022,234.4
Dec 2022,114
Jan 2023,107
Feb 2023,44
Mar 2023,109
Apr 2023,109.6
May 2023,30.2
Jun 2023,53
Jul 2023,154.8
Aug 2023,78.8
Sep 2023,161
Oct 2023,345.2
Nov 2023,83.6
Dec 2023,276
Jan 2024,118.2
Feb 2024,100.5
Mar 2024,100.6
Apr 2024,90.6
May 2024,71.4
Jun 2024,61.2
Jul 2024,59.2
Aug 2024,104.2
Sep 2024,36.6
Oct 2024,88.8
Nov 2024,50.8
Dec 2024,117.2
Jan 2025,53.4
Feb 2025,90.4
Mar 2025,38.6
Apr 2025,29.4
May 2025,4.8
