Timestamp,Value
Jun 2015,73.4
Jul 2015,132.6
Aug 2015,110.4
Sep 2015,28.6
Oct 2015,66.6
Nov 2015,188.8
Dec 2015,275.2
Jan 2016,214.2
Feb 2016,109
Mar 2016,68.6
Apr 2016,64.6
May 2016,54
Jun 2016,67.6
Jul 2016,109.8
Aug 2016,63.6
Sep 2016,111.6
Oct 2016,40.8
Nov 2016,53.8
Dec 2016,68.2
Jan 2017,53.4
Feb 2017,108.8
Mar 2017,114
Apr 2017,18.4
May 2017,75
Jun 2017,134.8
Jul 2017,99.8
Aug 2017,143
Sep 2017,111.6
Oct 2017,89
Nov 2017,83.2
Dec 2017,83.2
Jan 2018,150.2
Feb 2018,59.2
Mar 2018,72.2
Apr 2018,69.4
May 2018,19.8
Jun 2018,75.2
Jul 2018,43.4
Aug 2018,127.8
Sep 2018,100.6
Oct 2018,102.2
Nov 2018,159.2
Dec 2018,104.4
Jan 2019,35.6
Feb 2019,62.6
Mar 2019,144
Apr 2019,41.2
May 2019,53.6
Jun 2019,68.8
Jul 2019,98.4
Aug 2019,183.4
Sep 2019,158.8
Oct 2019,72.4
Nov 2019,66
Dec 2019,97.2
Jan 2020,144.2
Feb 2020,202.2
Mar 2020,63.2
Apr 2020,14.8
May 2020,25.4
Jun 2020,121.8
Jul 2020,145.2
Aug 2020,142.4
Sep 2020,68.4
Oct 2020,130.2
Nov 2020,106.8
Dec 2020,114.2
Jan 2021,85.6
Feb 2021,122.6
Mar 2021,91.6
Apr 2021,6.2
May 2021,79.6
Jun 2021,28.6
Jul 2021,28.6
Aug 2021,69.2
Sep 2021,95
Oct 2021,217
Nov 2021,54.6
Dec 2021,90.8
Jan 2022,40.8
Feb 2022,180
Mar 2022,60.4
Apr 2022,38.6
May 2022,70.2
Jun 2022,68
Jul 2022,51.2
Aug 2022,52.6
Sep 2022,110.4
Oct 2022,210.2
Nov 2022,155.6
Dec 2022,119.6
Jan 2023,130.6
Feb 2023,30.6
Mar 2023,127.4
Apr 2023,47.2
May 2023,28.8
Jun 2023,55.2
Jul 2023,199.6
Aug 2023,66.2
Sep 2023,168.8
Oct 2023,63.8
Nov 2023,81.4
Dec 2023,176.6
Jan 2024,105.4
Feb 2024,94
Mar 2024,106.6
Apr 2024,114.4
May 2024,96.8
Jun 2024,58.6
Jul 2024,68.4
Aug 2024,202.6
Sep 2024,52
Oct 2024,92.6
Nov 2024,56.6
Dec 2024,99.8
Jan 2025,54.4
Feb 2025,64.2
Mar 2025,31
Apr 2025,31.8
May 2025,7.2
