Timestamp,Value
Jun 2015,73
Jul 2015,145
Aug 2015,73.8
Sep 2015,29.2
Oct 2015,70.4
Nov 2015,240.4
Dec 2015,319.6
Jan 2016,198.4
Feb 2016,148
Mar 2016,60.2
Apr 2016,71.4
May 2016,62.2
Jun 2016,42
Jul 2016,88
Aug 2016,52.4
Sep 2016,106
Oct 2016,48.4
Nov 2016,49.8
Dec 2016,37
Jan 2017,26.8
Feb 2017,116.4
Mar 2017,87
Apr 2017,8
May 2017,40.6
Jun 2017,92.8
Jul 2017,63.4
Aug 2017,91.6
Sep 2017,69.4
Oct 2017,84.8
Nov 2017,61.8
Dec 2017,87.8
Jan 2018,184
Feb 2018,43.8
Mar 2018,68.6
Apr 2018,59.2
May 2018,21.6
Jun 2018,53.4
Jul 2018,34.8
Aug 2018,62.4
Sep 2018,69.8
Oct 2018,61.8
Nov 2018,164.4
Dec 2018,85.2
Jan 2019,27.2
Feb 2019,75.4
Mar 2019,113.4
Apr 2019,33.8
May 2019,56
Jun 2019,61.6
Jul 2019,70.6
Aug 2019,132.6
Sep 2019,56
Oct 2019,95.2
Nov 2019,65
Dec 2019,144.8
Jan 2020,139.8
Feb 2020,277.2
Mar 2020,78.2
Apr 2020,16.2
May 2020,51.2
Jun 2020,80.2
Jul 2020,103.4
Aug 2020,104.8
Sep 2020,61.4
Oct 2020,108.6
Nov 2020,106
Dec 2020,106.2
Jan 2021,95.2
Feb 2021,140.2
Mar 2021,85.6
Apr 2021,13.8
May 2021,85.4
Jun 2021,38.8
Jul 2021,31.2
Aug 2021,57.8
Sep 2021,80.8
Oct 2021,144.8
Nov 2021,52.8
Dec 2021,96
Jan 2022,75.4
Feb 2022,192
Mar 2022,43
Apr 2022,27.2
May 2022,65.6
Jun 2022,47
Jul 2022,40
Aug 2022,71
Sep 2022,86
Oct 2022,109.4
Nov 2022,115.8
Dec 2022,130.8
Jan 2023,146
Feb 2023,41
Mar 2023,89.2
Apr 2023,28.4
May 2023,24.8
Jun 2023,45.4
Jul 2023,94.6
Aug 2023,43.6
Sep 2023,88
Oct 2023,101.2
Nov 2023,60.4
Dec 2023,124.8
Jan 2024,112
Feb 2024,69.2
Mar 2024,62
Apr 2024,100.2
May 2024,57.4
Jun 2024,37.8
Jul 2024,46.2
Aug 2024,144.2
Sep 2024,42.2
Oct 2024,63.4
Nov 2024,46.8
Dec 2024,114.4
Jan 2025,57.6
Feb 2025,103.2
Mar 2025,54.8
Apr 2025,29.2
May 2025,6.4
