Timestamp,Value
Jun 2015,60.6
Jul 2015,88
Aug 2015,76.4
Sep 2015,43.4
Oct 2015,61.8
Nov 2015,172.6
Dec 2015,326
Jan 2016,159.8
Feb 2016,116.6
Mar 2016,90.4
Apr 2016,95.2
May 2016,45
Jun 2016,86.4
Jul 2016,93.8
Aug 2016,35.6
Sep 2016,125.2
Oct 2016,38
Nov 2016,64
Dec 2016,157.2
Jan 2017,51.6
Feb 2017,98.2
Mar 2017,113.2
Apr 2017,66.4
May 2017,46.8
Jun 2017,144.4
Jul 2017,28.8
Aug 2017,68.6
Sep 2017,97
Oct 2017,114.8
Nov 2017,127.6
Dec 2017,92.4
Jan 2018,140.8
Feb 2018,81
Mar 2018,27.6
Apr 2018,29.4
May 2018,41.4
Jun 2018,55.6
Jul 2018,68.2
Aug 2018,45.8
Sep 2018,172.2
Oct 2018,134.6
Nov 2018,116.6
Dec 2018,94
Jan 2019,79.2
Feb 2019,69.4
Mar 2019,182.2
Apr 2019,53.2
May 2019,110
Jun 2019,71.8
Jul 2019,82.6
Aug 2019,162.8
Sep 2019,65.2
Oct 2019,82.4
Nov 2019,51
Dec 2019,178
Jan 2020,271.8
Feb 2020,336.6
Mar 2020,130
Apr 2020,24.6
May 2020,66.2
Jun 2020,131.2
Jul 2020,86.8
Aug 2020,51.2
Sep 2020,104.4
Oct 2020,194.6
Nov 2020,145
Dec 2020,172.8
Jan 2021,76.4
Feb 2021,105.6
Mar 2021,179.2
Apr 2021,59
May 2021,163.2
Jun 2021,32.2
Jul 2021,110.6
Aug 2021,35.4
Sep 2021,63.6
Oct 2021,148.6
Nov 2021,100
Dec 2021,108
Jan 2022,125.8
Feb 2022,242.8
Mar 2022,58.4
Apr 2022,77.2
May 2022,101
Jun 2022,42.2
Jul 2022,51.6
Aug 2022,45.8
Sep 2022,81
Oct 2022,171.4
Nov 2022,124.2
Dec 2022,81.2
Jan 2023,158.4
Feb 2023,100
Mar 2023,85
Apr 2023,60.4
May 2023,18.4
Jun 2023,71.2
Jul 2023,151
Aug 2023,142.4
Sep 2023,135.2
Oct 2023,176.6
Nov 2023,106.4
Dec 2023,161.8
Jan 2024,140
Feb 2024,158.4
Mar 2024,85.2
Apr 2024,137
May 2024,108.2
Jun 2024,102.6
Jul 2024,54
Aug 2024,110.2
Sep 2024,79.2
Oct 2024,123
Nov 2024,89.6
Dec 2024,305
Jan 2025,84.8
Feb 2025,104
Mar 2025,77.8
Apr 2025,48
May 2025,11
