Timestamp,Value
Sep 2015,31.8
Oct 2015,124.2
Nov 2015,149.4
Dec 2015,134
Jan 2016,65
Feb 2016,13.8
Mar 2016,2.6
Apr 2016,30.2
May 2016,49.6
Jun 2016,113.8
Jul 2016,95.4
Aug 2016,64
Sep 2016,83.2
Oct 2016,82.4
Nov 2016,60.8
Dec 2016,73
Jan 2017,48.8
Feb 2017,121.2
Mar 2017,69
Apr 2017,10.4
May 2017,51.2
Jun 2017,96.6
Jul 2017,65
Aug 2017,114
Sep 2017,125.8
Oct 2017,74.2
Nov 2017,64.6
Dec 2017,41
Jan 2018,77.8
Feb 2018,47.4
Mar 2018,104
Apr 2018,30.8
May 2018,55.8
Jun 2018,45.8
Jul 2018,81.6
Aug 2018,73.2
Sep 2018,57.2
Oct 2018,74
Nov 2018,204.8
Dec 2018,76.6
Jan 2019,37.6
Feb 2019,56.2
Mar 2019,90
Apr 2019,37.8
May 2019,115.4
Jun 2019,86.2
Jul 2019,72
Aug 2019,139.2
Sep 2019,110.6
Oct 2019,79.2
Nov 2019,143
Dec 2019,95.2
Jan 2020,68.8
Feb 2020,179.4
Mar 2020,48.6
Apr 2020,13.4
May 2020,30.2
Jun 2020,104.2
Jul 2020,98.4
Aug 2020,122
Sep 2020,45.8
Oct 2020,179.6
Nov 2020,88.8
Dec 2020,138.6
Jan 2021,60.8
Feb 2021,145.8
Mar 2021,57.6
Apr 2021,10
May 2021,146.6
Jun 2021,14.2
Jul 2021,83.4
Aug 2021,91.8
Sep 2021,96.8
Oct 2021,143.6
Nov 2021,54.2
Dec 2021,84.6
Jan 2022,28.6
Feb 2022,89
Mar 2022,79.2
Apr 2022,38.2
May 2022,62.4
Jun 2022,46.6
Jul 2022,43.2
Aug 2022,84.2
Sep 2022,168.4
Oct 2022,149.8
Nov 2022,250.8
Dec 2022,130
Jan 2023,96.4
Feb 2023,32.8
Mar 2023,101.6
Apr 2023,90.8
May 2023,34
Jun 2023,56.2
Jul 2023,119
Aug 2023,79.2
Sep 2023,135.4
Oct 2023,286.8
Nov 2023,6.4
Dec 2023,0
Jan 2024,125.8
Feb 2024,72.2
Mar 2024,93.8
Apr 2024,83
May 2024,51.8
Jun 2024,37.2
Jul 2024,66.4
Aug 2024,111.4
Sep 2024,28.2
Oct 2024,88.2
Nov 2024,38.2
Dec 2024,109.2
Jan 2025,50.6
Feb 2025,96.2
Mar 2025,38.4
Apr 2025,18.4
May 2025,44.2
Jun 2025,63
Jul 2025,78.2
Aug 2025,55
