Timestamp,Value
Jun 2015,0.2
Jul 2015,113.6
Aug 2015,56.8
Sep 2015,41.2
Oct 2015,36.2
Nov 2015,135.4
Dec 2015,193
Jan 2016,197.8
Feb 2016,63
Mar 2016,41.2
Apr 2016,78.4
May 2016,20
Jun 2016,58.2
Jul 2016,76
Aug 2016,60.4
Sep 2016,58.4
Oct 2016,36.8
Nov 2016,99.2
Dec 2016,53
Jan 2017,26.6
Feb 2017,76
Mar 2017,56.8
Apr 2017,15.6
May 2017,35.4
Jun 2017,163.2
Jul 2017,67.8
Aug 2017,66.4
Sep 2017,86.8
Oct 2017,56.4
Nov 2017,51.4
Dec 2017,40.2
Jan 2018,72.8
Feb 2018,45
Mar 2018,63.6
Apr 2018,60.6
May 2018,23.4
Jun 2018,46.6
Jul 2018,38.6
Aug 2018,74.6
Sep 2018,59
Oct 2018,41.8
Nov 2018,91
Dec 2018,45
Jan 2019,11.8
Feb 2019,15.2
Mar 2019,86.4
Apr 2019,41.2
May 2019,50
Jun 2019,90.2
Jul 2019,94.8
Aug 2019,107.6
Sep 2019,86
Oct 2019,113.2
Nov 2019,139.2
Dec 2019,64
Jan 2020,58.2
Feb 2020,145.6
Mar 2020,47.8
Apr 2020,6.8
May 2020,45.8
Jun 2020,242.4
Jul 2020,70
Aug 2020,176.6
Sep 2020,36.2
Oct 2020,155.2
Nov 2020,38
Dec 2020,119.2
Jan 2021,112.6
Feb 2021,80.2
Mar 2021,33
Apr 2021,22.6
May 2021,136.4
Jun 2021,35
Jul 2021,87.8
Aug 2021,65.2
Sep 2021,49.2
Oct 2021,144.4
Nov 2021,46.8
Dec 2021,85
Jan 2022,24.2
Feb 2022,118.2
Mar 2022,46.8
Apr 2022,47.8
May 2022,49
Jun 2022,0.2
Jul 2022,25.2
Aug 2022,19.8
Sep 2022,130.4
Oct 2022,93.2
Nov 2022,97.8
Dec 2022,81.2
Jan 2023,39.4
Feb 2023,45
Mar 2023,75.4
Apr 2023,43.2
May 2023,27
Jun 2023,71.4
Jul 2023,119.4
Aug 2023,98.8
Sep 2023,67.8
Oct 2023,177
Nov 2023,87.2
Dec 2023,134.8
Jan 2024,80.2
Feb 2024,51.6
Mar 2024,86.8
Apr 2024,91.4
May 2024,151.6
Jun 2024,37.4
Jul 2024,73
Aug 2024,59
Sep 2024,46.6
Oct 2024,86.8
Nov 2024,29.4
Dec 2024,79.2
Jan 2025,49
Feb 2025,31.2
Mar 2025,21.8
Apr 2025,11.8
May 2025,9.6
