Timestamp,Value
Jun 2015,136
Jul 2015,213
Aug 2015,172.2
Sep 2015,57.6
Oct 2015,149
Nov 2015,337.2
Dec 2015,617.8
Jan 2016,431.8
Feb 2016,195.2
Mar 2016,114.4
Apr 2016,114.8
May 2016,88.8
Jun 2016,89.6
Jul 2016,109
Aug 2016,119
Sep 2016,223.8
Oct 2016,94.2
Nov 2016,82.4
Dec 2016,169
Jan 2017,83.6
Feb 2017,251.6
Mar 2017,169.4
Apr 2017,19.6
May 2017,67.8
Jun 2017,190.2
Jul 2017,105
Aug 2017,166
Sep 2017,122.2
Oct 2017,151.2
Nov 2017,102.6
Dec 2017,160.8
Jan 2018,242
Feb 2018,84.8
Mar 2018,167.4
Apr 2018,132.4
May 2018,58.4
Jun 2018,89
Jul 2018,83
Aug 2018,76.2
Sep 2018,152.4
Oct 2018,169.4
Nov 2018,391
Dec 2018,155.6
Jan 2019,46
Feb 2019,123
Mar 2019,200.6
Apr 2019,81.6
May 2019,101.6
Jun 2019,119.4
Jul 2019,115.8
Aug 2019,211.8
Sep 2019,132.6
Oct 2019,206
Nov 2019,115.2
Dec 2019,284
Jan 2020,309.8
Feb 2020,399
Mar 2020,150.6
Apr 2020,48.8
May 2020,92.4
Jun 2020,160.2
Jul 2020,120.2
Aug 2020,169.6
Sep 2020,137.4
Oct 2020,293
Nov 2020,232
Dec 2020,244.8
Jan 2021,115
Feb 2021,426.4
Mar 2021,197.4
Apr 2021,19.6
May 2021,189.2
Jun 2021,60.8
Jul 2021,58.8
Aug 2021,128
Sep 2021,92.4
Oct 2021,246.2
Nov 2021,94.8
Dec 2021,172
Jan 2022,109
Feb 2022,307
Mar 2022,145
Apr 2022,55.4
May 2022,146.2
Jun 2022,144.4
Jul 2022,69.2
Aug 2022,96.8
Sep 2022,191.2
Oct 2022,313.2
Nov 2022,349.8
Dec 2022,194.2
Jan 2023,210
Feb 2023,77.8
Mar 2023,156.4
Apr 2023,114.4
May 2023,36.2
Jun 2023,104
Jul 2023,203.8
Aug 2023,103.6
Sep 2023,208
Oct 2023,343.2
Nov 2023,139.2
Dec 2023,333.8
Jan 2024,216.8
Feb 2024,150.2
Mar 2024,174.2
Apr 2024,189.8
May 2024,114
Jun 2024,70.4
Jul 2024,72
Aug 2024,249.6
Sep 2024,59.4
Oct 2024,129.8
Nov 2024,122.8
Dec 2024,286.2
Jan 2025,136
Feb 2025,220
Mar 2025,97.8
Apr 2025,77.6
May 2025,6.8
