Timestamp,Value
Jun 2015,92.8
Jul 2015,115.6
Aug 2015,68.6
Sep 2015,82.6
Oct 2015,53.6
Nov 2015,115.6
Dec 2015,271.2
Jan 2016,194.6
Feb 2016,87.8
Mar 2016,68
Apr 2016,93.8
May 2016,39.2
Jun 2016,132.8
Jul 2016,73
Aug 2016,69.2
Sep 2016,53
Oct 2016,58.2
Nov 2016,123.2
Dec 2016,109.8
Jan 2017,97.6
Feb 2017,77.8
Mar 2017,54.8
Apr 2017,68
May 2017,56.2
Jun 2017,153.4
Jul 2017,67.4
Aug 2017,89.8
Sep 2017,126.6
Oct 2017,74
Nov 2017,90.8
Dec 2017,86.4
Jan 2018,72.2
Feb 2018,62.4
Mar 2018,29.2
Apr 2018,50.8
May 2018,27
Jun 2018,37.2
Jul 2018,45
Aug 2018,42
Sep 2018,141.8
Oct 2018,99.2
Nov 2018,118.2
Dec 2018,71
Jan 2019,59
Feb 2019,69.2
Mar 2019,123.6
Apr 2019,49.2
May 2019,162.8
Jun 2019,92.4
Jul 2019,91.2
Aug 2019,123.4
Sep 2019,56
Oct 2019,88.4
Nov 2019,116.8
Dec 2019,116.6
Jan 2020,107.8
Feb 2020,187.6
Mar 2020,50.2
Apr 2020,21.6
May 2020,71.6
Jun 2020,114.4
Jul 2020,120.4
Aug 2020,54
Sep 2020,57.2
Oct 2020,204.4
Nov 2020,68.2
Dec 2020,189.8
Jan 2021,96.2
Feb 2021,111
Mar 2021,84.6
Apr 2021,46.6
May 2021,187.8
Jun 2021,37.8
Jul 2021,141.6
Aug 2021,67.4
Sep 2021,72.2
Oct 2021,126.6
Nov 2021,102.8
Dec 2021,85.4
Jan 2022,57.8
Feb 2022,148.8
Mar 2022,79.6
Apr 2022,89.4
May 2022,76.6
Jun 2022,37.8
Jul 2022,70.6
Aug 2022,79.8
Sep 2022,132.8
Oct 2022,96
Nov 2022,115.6
Dec 2022,80.8
Jan 2023,95.6
Feb 2023,54.8
Mar 2023,104.2
Apr 2023,53.4
May 2023,52.4
Jun 2023,38.8
Jul 2023,130.6
Aug 2023,93.8
Sep 2023,112.6
Oct 2023,200.8
Nov 2023,98.2
Dec 2023,135
Jan 2024,110.4
Feb 2024,86.8
Mar 2024,76.4
Apr 2024,115.6
May 2024,102.6
Jun 2024,98.6
Jul 2024,94.6
Aug 2024,58.8
Sep 2024,104.2
Oct 2024,99.6
Nov 2024,43.8
Dec 2024,227
Jan 2025,90.6
Feb 2025,46.4
Mar 2025,60.4
Apr 2025,33.6
May 2025,13.8
