Timestamp,Value
Sep 2015,67.2
Oct 2015,95
Nov 2015,129
Dec 2015,399.6
Jan 2016,472
Feb 2016,116.8
Mar 2016,79.6
Apr 2016,96.2
May 2016,44
Jun 2016,104.6
Jul 2016,89.8
Aug 2016,38.8
Sep 2016,89.6
Oct 2016,114.4
Nov 2016,77.2
Dec 2016,63.8
Jan 2017,46
Feb 2017,133
Mar 2017,70.6
Apr 2017,22
May 2017,33.4
Jun 2017,100
Jul 2017,69.8
Aug 2017,79
Sep 2017,109
Oct 2017,100
Nov 2017,89.4
Dec 2017,53.2
Jan 2018,90.6
Feb 2018,26.2
Mar 2018,120.6
Apr 2018,61.6
May 2018,49.8
Jun 2018,87.2
Jul 2018,85.6
Aug 2018,57.6
Sep 2018,95.4
Oct 2018,110.6
Nov 2018,319.4
Dec 2018,100.8
Jan 2019,34.2
Feb 2019,74.2
Mar 2019,111.4
Apr 2019,56
May 2019,132.8
Jun 2019,121.4
Jul 2019,93
Aug 2019,193.4
Sep 2019,75.6
Oct 2019,76.2
Nov 2019,186.8
Dec 2019,109.8
Jan 2020,136.6
Feb 2020,194.2
Mar 2020,46.6
Apr 2020,27.8
May 2020,60.8
Jun 2020,83.8
Jul 2020,74.8
Aug 2020,102.6
Sep 2020,45.4
Oct 2020,253.8
Nov 2020,107.8
Dec 2020,212.2
Jan 2021,36.6
Feb 2021,74
Mar 2021,98.4
Apr 2021,34.6
May 2021,193.8
Jun 2021,22
Jul 2021,101
Aug 2021,108.4
Sep 2021,79
Oct 2021,180.4
Nov 2021,59.4
Dec 2021,83.8
Jan 2022,38
Feb 2022,99.4
Mar 2022,127.8
Apr 2022,56.4
May 2022,74
Jun 2022,63
Jul 2022,37
Aug 2022,76.6
Sep 2022,167.6
Oct 2022,136
Nov 2022,301.4
Dec 2022,114
Jan 2023,79
Feb 2023,46
Mar 2023,96.4
Apr 2023,92.4
May 2023,23.8
Jun 2023,35.8
Jul 2023,128.6
Aug 2023,76.6
Sep 2023,179.4
Oct 2023,306.2
Nov 2023,92
Dec 2023,229.4
Jan 2024,149.8
Feb 2024,87
Mar 2024,145.4
Apr 2024,133.2
May 2024,95
Jun 2024,51.6
Jul 2024,109.6
Aug 2024,92
Sep 2024,63.6
Oct 2024,89.2
Nov 2024,51.2
Dec 2024,126.2
Jan 2025,63
Feb 2025,128.6
Mar 2025,44
Apr 2025,32.8
May 2025,44.8
Jun 2025,69
Jul 2025,62.8
Aug 2025,55
