Timestamp,Value
Jun 2015,93.8
Jul 2015,262.6
Aug 2015,116.6
Sep 2015,42.2
Oct 2015,79
Nov 2015,327.6
Dec 2015,365.4
Jan 2016,261.4
Feb 2016,163.8
Mar 2016,27.4
Apr 2016,79.6
May 2016,7.8
Jun 2016,52.6
Jul 2016,91.4
Aug 2016,109
Sep 2016,179.4
Oct 2016,66.6
Nov 2016,98.6
Dec 2016,173.2
Jan 2017,61.6
Feb 2017,174.2
Mar 2017,143.2
Apr 2017,16.8
May 2017,67.6
Jun 2017,188.4
Jul 2017,133.4
Aug 2017,166
Sep 2017,151
Oct 2017,182.2
Nov 2017,83.2
Dec 2017,131
Jan 2018,218.4
Feb 2018,65.6
Mar 2018,100.2
Apr 2018,63.4
May 2018,45
Jun 2018,84.4
Jul 2018,56.2
Aug 2018,110.8
Sep 2018,159.2
Oct 2018,158.6
Nov 2018,211
Dec 2018,116.8
Jan 2019,46.2
Feb 2019,115.4
Mar 2019,175
Apr 2019,63.2
May 2019,105
Jun 2019,116.4
Jul 2019,145.4
Aug 2019,247.8
Sep 2019,164.2
Oct 2019,133.4
Nov 2019,140
Dec 2019,238.8
Jan 2020,250.2
Feb 2020,412
Mar 2020,137.6
Apr 2020,13.8
May 2020,47
Jun 2020,138
Jul 2020,180
Aug 2020,266.4
Sep 2020,156.8
Oct 2020,210.4
Nov 2020,196
Dec 2020,194.6
Jan 2021,102.2
Feb 2021,133.8
Mar 2021,129.8
Apr 2021,20.2
May 2021,131.2
Jun 2021,51.8
Jul 2021,103.6
Aug 2021,74.2
Sep 2021,129.8
Oct 2021,255.2
Nov 2021,103.8
Dec 2021,126.8
Jan 2022,95.6
Feb 2022,235.8
Mar 2022,41.6
Apr 2022,47
May 2022,101
Jun 2022,64
Jul 2022,77.2
Aug 2022,152.8
Sep 2022,141.8
Oct 2022,247.2
Nov 2022,183.4
Dec 2022,151.6
Jan 2023,234.2
Feb 2023,68
Mar 2023,171
Apr 2023,60.4
May 2023,29.2
Jun 2023,80.8
Jul 2023,171.2
Aug 2023,89.8
Sep 2023,184.2
Oct 2023,237.2
Nov 2023,102.8
Dec 2023,250.6
Jan 2024,192
Feb 2024,122
Mar 2024,114
Apr 2024,179.6
May 2024,104
Jun 2024,87.6
Jul 2024,67.2
Aug 2024,306.2
Sep 2024,52
Oct 2024,126.8
Nov 2024,53.8
Dec 2024,233.8
Jan 2025,103.8
Feb 2025,105.6
Mar 2025,105
Apr 2025,48.4
May 2025,0
