Timestamp,Value
Jun 2015,52
Jul 2015,124
Aug 2015,75.8
Sep 2015,39.6
Oct 2015,54.6
Nov 2015,219.4
Dec 2015,288.6
Jan 2016,168.6
Feb 2016,5.8
Mar 2016,66.2
Apr 2016,62.8
May 2016,41.2
Jun 2016,65.4
Jul 2016,102
Aug 2016,67.8
Sep 2016,106.8
Oct 2016,46
Nov 2016,76.4
Dec 2016,86.2
Jan 2017,54.8
Feb 2017,104.2
Mar 2017,114
Apr 2017,21.8
May 2017,29.4
Jun 2017,127.6
Jul 2017,92.4
Aug 2017,93.8
Sep 2017,102.2
Oct 2017,98.4
Nov 2017,82.8
Dec 2017,72
Jan 2018,147.8
Feb 2018,61
Mar 2018,83.4
Apr 2018,75
May 2018,27.2
Jun 2018,107.2
Jul 2018,62.4
Aug 2018,46.4
Sep 2018,96.2
Oct 2018,78.6
Nov 2018,170
Dec 2018,81.8
Jan 2019,23
Feb 2019,69
Mar 2019,147.4
Apr 2019,49.6
May 2019,48.6
Jun 2019,83
Jul 2019,93.2
Aug 2019,131
Sep 2019,88.4
Oct 2019,97.4
Nov 2019,86.8
Dec 2019,112.8
Jan 2020,128.4
Feb 2020,263.6
Mar 2020,64
Apr 2020,13.6
May 2020,45.6
Jun 2020,114.4
Jul 2020,90.2
Aug 2020,141.6
Sep 2020,57.8
Oct 2020,174.2
Nov 2020,109.2
Dec 2020,176.1
Jan 2021,122.5
Feb 2021,227.9
Mar 2021,96.7
Apr 2021,10.8
May 2021,117.6
Jun 2021,16
Jul 2021,23.8
Aug 2021,78.8
Sep 2021,63.8
Oct 2021,172.4
Nov 2021,65.7
Dec 2021,87.5
Jan 2022,40.9
Feb 2022,189.3
Mar 2022,63
Apr 2022,25.7
May 2022,76.4
Jun 2022,35.4
Jul 2022,31.8
Aug 2022,39.8
Sep 2022,114.2
Oct 2022,169.8
Nov 2022,163.6
Dec 2022,146.4
Jan 2023,128
Feb 2023,32.4
Mar 2023,102.8
Apr 2023,49.6
May 2023,42.2
Jun 2023,48.4
Jul 2023,119.4
Aug 2023,86
Sep 2023,141
Oct 2023,126.2
Nov 2023,88.8
Dec 2023,170.4
Jan 2024,143.6
Feb 2024,61.8
Mar 2024,130.2
Apr 2024,146.2
May 2024,139.8
Jun 2024,41.4
Jul 2024,71.4
Aug 2024,139.6
Sep 2024,53.6
Oct 2024,105.8
Nov 2024,61.2
Dec 2024,108.8
Jan 2025,74.6
Feb 2025,103.8
Mar 2025,27.6
Apr 2025,31.8
May 2025,0.4
