Timestamp,Value
Sep 2015,25.8
Oct 2015,23.6
Nov 2015,123.4
Dec 2015,112.2
Jan 2016,130
Feb 2016,50.4
Mar 2016,29.4
Apr 2016,45.6
May 2016,22.8
Jun 2016,57.6
Jul 2016,59.8
Aug 2016,47.4
Sep 2016,36
Oct 2016,57
Nov 2016,63.4
Dec 2016,44
Jan 2017,25.6
Feb 2017,53
Mar 2017,39.4
Apr 2017,7.4
May 2017,17.8
Jun 2017,209.8
Jul 2017,60.2
Aug 2017,63.4
Sep 2017,64.2
Oct 2017,36
Nov 2017,44.2
Dec 2017,38.4
Jan 2018,57.2
Feb 2018,16.6
Mar 2018,78.2
Apr 2018,55.6
May 2018,16
Jun 2018,38.2
Jul 2018,26.6
Aug 2018,65
Sep 2018,60.6
Oct 2018,35.4
Nov 2018,53
Dec 2018,27.2
Jan 2019,10.2
Feb 2019,13.6
Mar 2019,39.2
Apr 2019,32
May 2019,177.6
Jun 2019,118.2
Jul 2019,213
Aug 2019,116.4
Sep 2019,57
Oct 2019,89.4
Nov 2019,105.4
Dec 2019,48.8
Jan 2020,47.6
Feb 2020,82.4
Mar 2020,28.6
Apr 2020,0
May 2020,20
Jun 2020,63.2
Jul 2020,71.8
Aug 2020,77.2
Sep 2020,33
Oct 2020,116
Nov 2020,30.8
Dec 2020,111.2
Jan 2021,114.4
Feb 2021,68.2
Mar 2021,22.4
Apr 2021,11.4
May 2021,84.4
Jun 2021,43.4
Jul 2021,71.4
Aug 2021,38.2
Sep 2021,48
Oct 2021,130.2
Nov 2021,36.8
Dec 2021,77.8
Jan 2022,18.2
Feb 2022,77.8
Mar 2022,35.8
Apr 2022,53.6
May 2022,44.8
Jun 2022,20.4
Jul 2022,34.6
Aug 2022,19.4
Sep 2022,79.8
Oct 2022,61.4
Nov 2022,86.4
Dec 2022,70.8
Jan 2023,16
Feb 2023,34.6
Mar 2023,74.8
Apr 2023,36
May 2023,27
Jun 2023,32.2
Jul 2023,53
Aug 2023,40
Sep 2023,52.8
Oct 2023,142.8
Nov 2023,68.6
Dec 2023,121.8
Jan 2024,52
Feb 2024,48.4
Mar 2024,77.4
Apr 2024,94.4
May 2024,134.4
Jun 2024,35.4
Jul 2024,47.2
Aug 2024,47
Sep 2024,43
Oct 2024,62
Nov 2024,20.4
Dec 2024,42.4
Jan 2025,41.8
Feb 2025,22
Mar 2025,11.6
Apr 2025,15
May 2025,34.2
Jun 2025,64.8
Jul 2025,54.2
Aug 2025,19.8
