Timestamp,Value
Sep 2015,35.8
Oct 2015,53
Nov 2015,100.4
Dec 2015,66.8
Jan 2016,163.6
Feb 2016,102
Mar 2016,36
Apr 2016,78
May 2016,36.8
Jun 2016,58.4
Jul 2016,141.2
Aug 2016,12.8
Sep 2016,58
Oct 2016,56.2
Nov 2016,66
Dec 2016,93
Jan 2017,104.8
Feb 2017,57.6
Mar 2017,80.6
Apr 2017,82.8
May 2017,44.2
Jun 2017,164.4
Jul 2017,73.6
Aug 2017,92.4
Sep 2017,107.6
Oct 2017,109.2
Nov 2017,206
Dec 2017,130.4
Jan 2018,78.2
Feb 2018,38.8
Mar 2018,78.6
Apr 2018,35
May 2018,30.2
Jun 2018,11.6
Jul 2018,50.2
Aug 2018,49.6
Sep 2018,119.6
Oct 2018,125.4
Nov 2018,48.4
Dec 2018,52.6
Jan 2019,112
Feb 2019,60.6
Mar 2019,91.4
Apr 2019,36.6
May 2019,79.8
Jun 2019,68
Jul 2019,103.8
Aug 2019,116.4
Sep 2019,73
Oct 2019,72.8
Nov 2019,116.4
Dec 2019,91
Jan 2020,68.2
Feb 2020,103.8
Mar 2020,28
Apr 2020,35.2
May 2020,75.2
Jun 2020,77.6
Jul 2020,57.4
Aug 2020,31.8
Sep 2020,52.8
Oct 2020,179.6
Nov 2020,65.2
Dec 2020,98.6

Feb 2021,5.4
Mar 2021,72.6
Apr 2021,52.8
May 2021,64.4
Jun 2021,25.6
Jul 2021,14.4
Aug 2021,31
Sep 2021,90.6
Oct 2021,128.8
Nov 2021,176.6
Dec 2021,43.6
Jan 2022,60
Feb 2022,107
Mar 2022,20.8
Apr 2022,67.4
May 2022,53.6
Jun 2022,28.4
Jul 2022,88
Aug 2022,47.6
Sep 2022,83.8
Oct 2022,76.8
Nov 2022,99.8
Dec 2022,116.6
Jan 2023,125.6
Feb 2023,60.8
Mar 2023,66.2
Apr 2023,40.2
May 2023,22.6
Jun 2023,53.2
Jul 2023,95.6
Aug 2023,109.2
Sep 2023,75.2
Oct 2023,40.8
Nov 2023,73.6
Dec 2023,179.6
Jan 2024,128.8
Feb 2024,67.6
Mar 2024,52.2
Apr 2024,70.4
May 2024,50.8
Jun 2024,73.8
Jul 2024,54
Aug 2024,53.8
Sep 2024,83
Oct 2024,54.4
Nov 2024,76.6
Dec 2024,169.8
Jan 2025,69
Feb 2025,11.4
Mar 2025,52.8
Apr 2025,26
May 2025,33.4
Jun 2025,97
Jul 2025,32.6
Aug 2025,44.6
