Timestamp,Value
Jun 2015,51.2
Jul 2015,79.2
Aug 2015,99.8
Sep 2015,45.4
Oct 2015,84.4
Nov 2015,56.2
Dec 2015,75
Jan 2016,140.2
Feb 2016,49.4
Mar 2016,57.2
Apr 2016,94
May 2016,25.4
Jun 2016,120.2
Jul 2016,104.8
Aug 2016,65.2
Sep 2016,23.6
Oct 2016,63.4
Nov 2016,74.2
Dec 2016,36.2
Jan 2017,68.6
Feb 2017,63.4
Mar 2017,66.8
Apr 2017,38.2
May 2017,33.8
Jun 2017,115
Jul 2017,78.4
Aug 2017,97.2
Sep 2017,77.6
Oct 2017,77.8
Nov 2017,121.4
Dec 2017,92.4
Jan 2018,33.4
Feb 2018,34.6
Mar 2018,85.4
Apr 2018,35
May 2018,20
Jun 2018,25.4
Jul 2018,52.4
Aug 2018,54
Sep 2018,57.8
Oct 2018,88.8
Nov 2018,73.2
Dec 2018,55.8
Jan 2019,52.8
Feb 2019,37
Mar 2019,74
Apr 2019,39.2
May 2019,74.2
Jun 2019,84.8
Jul 2019,83.8
Aug 2019,71.2
Sep 2019,92
Oct 2019,91.6
Nov 2019,128.4
Dec 2019,68
Jan 2020,29.2
Feb 2020,71.4
Mar 2020,15.4
Apr 2020,7.6
May 2020,39.8
Jun 2020,76.2
Jul 2020,154.6
Aug 2020,83
Sep 2020,36.2
Oct 2020,211.4
Nov 2020,36
Dec 2020,162.2
Jan 2021,128.4
Feb 2021,28.8
Mar 2021,34.2
Apr 2021,30.8
May 2021,63
Jun 2021,24.6
Jul 2021,58
Aug 2021,49
Sep 2021,54.4
Oct 2021,159.2
Nov 2021,70
Dec 2021,72.8
Jan 2022,41.8
Feb 2022,65.8
Mar 2022,39.2
Apr 2022,74.2
May 2022,48.4
Jun 2022,25.6
Jul 2022,58
Aug 2022,27
Sep 2022,102.4
Oct 2022,102
Nov 2022,98.8
Dec 2022,124.6
Jan 2023,88
Feb 2023,33.2
Mar 2023,80.2
Apr 2023,53
May 2023,44.4
Jun 2023,53.2
Jul 2023,66.2
Aug 2023,32.6
Sep 2023,42.8
Oct 2023,181.4
Nov 2023,105.2
Dec 2023,168.6
Jan 2024,68
Feb 2024,66
Mar 2024,76.4
Apr 2024,101.9
May 2024,36
Jun 2024,48
Jul 2024,116
Aug 2024,85.6
Sep 2024,59.6
Oct 2024,83.8
Nov 2024,81.8
Dec 2024,117.2
Jan 2025,57.4
Feb 2025,19.8
Mar 2025,45.2
Apr 2025,12.8
May 2025,10.4
