Timestamp,Value
Sep 2015,49.6
Oct 2015,135
Nov 2015,393.6
Dec 2015,499.4
Jan 2016,302.2
Feb 2016,225.6
Mar 2016,93.6
Apr 2016,111.8
May 2016,131.4
Jun 2016,89.8
Jul 2016,193.6
Aug 2016,151.2
Sep 2016,254.6
Oct 2016,72.8
Nov 2016,127.8
Dec 2016,229.8
Jan 2017,105.2
Feb 2017,226.6
Mar 2017,214.2
Apr 2017,37.2
May 2017,87.4
Jun 2017,205.6
Jul 2017,142.4
Aug 2017,219.6
Sep 2017,194.4
Oct 2017,261.6
Nov 2017,138.4
Dec 2017,194
Jan 2018,281.8
Feb 2018,118.6
Mar 2018,143.2
Apr 2018,130.2
May 2018,54.6
Jun 2018,103
Jul 2018,80.8
Aug 2018,140.6
Sep 2018,246
Oct 2018,233.8
Nov 2018,220.8
Dec 2018,177.2
Jan 2019,96
Feb 2019,143.2
Mar 2019,228.2
Apr 2019,52.6
May 2019,101.6
Jun 2019,98.8
Jul 2019,145.4
Aug 2019,270.2
Sep 2019,195.4
Oct 2019,187.8
Nov 2019,111.2
Dec 2019,335.8
Jan 2020,280.6
Feb 2020,391
Mar 2020,179
Apr 2020,22.2
May 2020,74.4
Jun 2020,180.2
Jul 2020,187.4
Aug 2020,199.2
Sep 2020,177.8
Oct 2020,257
Nov 2020,242.6
Dec 2020,204.6
Jan 2021,168.6
Feb 2021,193
Mar 2021,209.2
Apr 2021,28.4
May 2021,100.2
Jun 2021,68.8
Jul 2021,74
Aug 2021,158.4
Sep 2021,132.8
Oct 2021,359.4
Nov 2021,172.4
Dec 2021,181.6
Jan 2022,109.8
Feb 2022,380.6
Mar 2022,66.2
Apr 2022,80.6
May 2022,134.4
Jun 2022,142.2
Jul 2022,111.8
Aug 2022,117
Sep 2022,172
Oct 2022,359
Nov 2022,223.6
Dec 2022,181.4
Jan 2023,313.4
Feb 2023,110.8
Mar 2023,259.6
Apr 2023,72.4
May 2023,49.2
Jun 2023,102.2
Jul 2023,194.2
Aug 2023,110.4
Sep 2023,248.2
Oct 2023,210.4
Nov 2023,134.6
Dec 2023,285.2
Jan 2024,212.2
Feb 2024,213.4
Mar 2024,176.4
Apr 2024,218.4
May 2024,131.8
Jun 2024,79.8
Jul 2024,85.6
Aug 2024,372
Sep 2024,76.2
Oct 2024,148.4
Nov 2024,106.4
Dec 2024,362.4
Jan 2025,120.4
Feb 2025,165.4
Mar 2025,129.4
Apr 2025,88.8
May 2025,127.8
Jun 2025,130.2
Jul 2025,128.8
Aug 2025,127
