Timestamp,Value
Sep 2015,0
Oct 2015,17.2
Nov 2015,139.8
Dec 2015,156
Jan 2016,207.2
Feb 2016,83.6
Mar 2016,49.6
Apr 2016,115.8
May 2016,19.4
Jun 2016,62.6
Jul 2016,147
Aug 2016,23.2
Sep 2016,51
Oct 2016,76.4
Nov 2016,164.4
Dec 2016,39.8
Jan 2017,27.2
Feb 2017,102.4
Mar 2017,58.6
Apr 2017,17
May 2017,22
Jun 2017,111.2
Jul 2017,72.8
Aug 2017,56.2
Sep 2017,84
Oct 2017,48.8
Nov 2017,45.8
Dec 2017,39.2
Jan 2018,64.6
Feb 2018,42.2
Mar 2018,127.6
Apr 2018,67.2
May 2018,19
Jun 2018,39
Jul 2018,60.4
Aug 2018,70.4
Sep 2018,55
Oct 2018,53.8
Nov 2018,84.4
Dec 2018,45.8
Jan 2019,13
Feb 2019,32
Mar 2019,91.6
Apr 2019,57.2
May 2019,86.6
Jun 2019,148.2
Jul 2019,0
Aug 2019,0
Sep 2019,62.4
Oct 2019,61
Nov 2019,0
Dec 2019,62
Jan 2020,45.6
Feb 2020,153.4
Mar 2020,48.6
Apr 2020,3.6
May 2020,43.2
Jun 2020,85
Jul 2020,74
Aug 2020,172.8
Sep 2020,28.8
Oct 2020,167
Nov 2020,42.4
Dec 2020,167
Jan 2021,158.4
Feb 2021,122.8
Mar 2021,31
Apr 2021,19.6
May 2021,139.4
Jun 2021,38
Jul 2021,67.4
Aug 2021,44.2
Sep 2021,40.2
Oct 2021,216.6
Nov 2021,68.2
Dec 2021,96.4
Jan 2022,25.2
Feb 2022,111.6
Mar 2022,50.6
Apr 2022,49.6
May 2022,73.6
Jun 2022,32.2
Jul 2022,38.6
Aug 2022,19.6
Sep 2022,150.4
Oct 2022,102
Nov 2022,143.8
Dec 2022,106.4
Jan 2023,41.6
Feb 2023,42.4
Mar 2023,93
Apr 2023,38
May 2023,30.2
Jun 2023,33
Jul 2023,138
Aug 2023,70.2
Sep 2023,61.4
Oct 2023,247.6
Nov 2023,159.8
Dec 2023,208.4
Jan 2024,81.8
Feb 2024,59.4
Mar 2024,86
Apr 2024,122.2
May 2024,143.4
Jun 2024,27.6
Jul 2024,60.4
Aug 2024,52.6
Sep 2024,46
Oct 2024,107
Nov 2024,31
Dec 2024,97.4
Jan 2025,58
Feb 2025,33.4
Mar 2025,19.6
Apr 2025,18.6
May 2025,11.6
Jun 2025,65.8
Jul 2025,89.8
Aug 2025,17.8
