Timestamp,Value
Jun 2015,54.8
Jul 2015,106.2
Aug 2015,69.4
Sep 2015,66
Oct 2015,61.6
Nov 2015,204.2
Dec 2015,227.4
Jan 2016,205
Feb 2016,120.6
Mar 2016,54.8
Apr 2016,95
May 2016,39.4
Jun 2016,81.2
Jul 2016,104.6
Aug 2016,76.2
Sep 2016,90.4
Oct 2016,48.8
Nov 2016,90.4
Dec 2016,62
Jan 2017,78
Feb 2017,86.8
Mar 2017,99.6
Apr 2017,16.4
May 2017,52.6
Jun 2017,167.4
Jul 2017,95.8
Aug 2017,90
Sep 2017,128.4
Oct 2017,109.4
Nov 2017,96.8
Dec 2017,80
Jan 2018,121.8
Feb 2018,73.6
Mar 2018,69.8
Apr 2018,88
May 2018,40.2
Jun 2018,41.2
Jul 2018,54.6
Aug 2018,113.2
Sep 2018,80.8
Oct 2018,92.2
Nov 2018,127.4
Dec 2018,106
Jan 2019,56.4
Feb 2019,72.4
Mar 2019,148.2
Apr 2019,47.8
May 2019,57.2
Jun 2019,52
Jul 2019,93.2
Aug 2019,169.2
Sep 2019,157.6
Oct 2019,123.4
Nov 2019,93.4
Dec 2019,103
Jan 2020,93.2
Feb 2020,149.4
Mar 2020,42.6
Apr 2020,18.4
May 2020,28.4
Jun 2020,94.6
Jul 2020,156.4
Aug 2020,135.8
Sep 2020,98.8
Oct 2020,152.2
Nov 2020,98.4
Dec 2020,119.4
Jan 2021,115.4
Feb 2021,120.4
Mar 2021,65.6
Apr 2021,10
May 2021,107.4
Jun 2021,33.4
Jul 2021,25.4
Aug 2021,63.2
Sep 2021,71.6
Oct 2021,200.2
Nov 2021,61
Dec 2021,115.2
Jan 2022,40.6
Feb 2022,125.2
Mar 2022,46.6
Apr 2022,49
May 2022,70
Jun 2022,59.6
Jul 2022,38.8
Aug 2022,95.8
Sep 2022,100.6
Oct 2022,123.6
Nov 2022,158
Dec 2022,97
Jan 2023,119.3
Feb 2023,30.4
Mar 2023,120.6
Apr 2023,81.4
May 2023,23.8
Jun 2023,56.6
Jul 2023,153.4
Aug 2023,53.6
Sep 2023,130.6
Oct 2023,86
Nov 2023,119.2
Dec 2023,164
Jan 2024,77
Feb 2024,102.4
Mar 2024,97
Apr 2024,132.8
May 2024,86.8
Jun 2024,35.2
Jul 2024,64.2
Aug 2024,184
Sep 2024,59.6
Oct 2024,107.8
Nov 2024,42
Dec 2024,109.2
Jan 2025,67.2
Feb 2025,53.8
Mar 2025,34.2
Apr 2025,38.2
May 2025,13.2
