Timestamp,Value
Sep 2015,56
Oct 2015,84.8
Nov 2015,260.8
Dec 2015,285.4
Jan 2016,140.2
Feb 2016,53
Mar 2016,88.2
Apr 2016,124.2
May 2016,101.8
Jun 2016,68.8
Jul 2016,152.4
Aug 2016,129.4
Sep 2016,116.2
Oct 2016,59.8
Nov 2016,132.8
Dec 2016,181.2
Jan 2017,99.2
Feb 2017,103.2
Mar 2017,103.2
Apr 2017,117.8
May 2017,46.4
Jun 2017,93.2
Jul 2017,118.2
Aug 2017,171.8
Sep 2017,154.2
Oct 2017,224
Nov 2017,191.6
Dec 2017,205.4
Jan 2018,168.6
Feb 2018,73.8
Mar 2018,57.6
Apr 2018,39.6
May 2018,43
Jun 2018,45.2
Jul 2018,107.6
Aug 2018,109.2
Sep 2018,208.8
Oct 2018,225.2
Nov 2018,67.4
Dec 2018,143.4
Jan 2019,168
Feb 2019,110
Mar 2019,169.4
Apr 2019,38.2
May 2019,38.4
Jun 2019,107.2
Jul 2019,136.2
Aug 2019,239.6
Sep 2019,111.8
Oct 2019,157
Nov 2019,65
Dec 2019,233.6
Jan 2020,279.4
Feb 2020,216.2
Mar 2020,208.6
Apr 2020,43.4
May 2020,121.8
Jun 2020,95
Jul 2020,78.6
Aug 2020,59.8
Sep 2020,172.8
Oct 2020,229.6
Nov 2020,172.8
Dec 2020,133.6
Jan 2021,201.8
Feb 2021,69.4
Mar 2021,205.4
Apr 2021,61.6
May 2021,35.8
Jun 2021,38.2
Jul 2021,47.8
Aug 2021,90.8
Sep 2021,112.6
Oct 2021,261.8
Nov 2021,204
Dec 2021,96
Jan 2022,127
Feb 2022,218.6
Mar 2022,35
Apr 2022,91.4
May 2022,154.8
Jun 2022,73.2
Jul 2022,121.4
Aug 2022,67.8
Sep 2022,122.8
Oct 2022,123.4
Nov 2022,172.6
Dec 2022,207.2
Jan 2023,142
Feb 2023,148.6
Mar 2023,116.6
Apr 2023,66.6
May 2023,34.2
Jun 2023,69.6
Jul 2023,109.6
Aug 2023,125.2
Sep 2023,215.2
Oct 2023,149.4
Nov 2023,102
Dec 2023,122.4
Jan 2024,131.4
Feb 2024,198.6
Mar 2024,68.6
Apr 2024,100.6
May 2024,74.8
Jun 2024,113.4
Jul 2024,103.6
Aug 2024,183.2
Sep 2024,82.6
Oct 2024,157.6
Nov 2024,136
Dec 2024,295.6
Jan 2025,98.2
Feb 2025,80.6
Mar 2025,113.2
Apr 2025,62.2
May 2025,71.4
Jun 2025,143.4
Jul 2025,102.2
Aug 2025,61.4
