Timestamp,Value
Sep 2015,86
Oct 2015,112.4
Nov 2015,121.2
Dec 2015,321.4
Jan 2016,393
Feb 2016,103.4
Mar 2016,65.2
Apr 2016,103
May 2016,42.2
Jun 2016,110
Jul 2016,77.2
Aug 2016,51
Sep 2016,57.8
Oct 2016,105
Nov 2016,99.4
Dec 2016,57.8
Jan 2017,49.4
Feb 2017,112.6
Mar 2017,63.2
Apr 2017,32.4
May 2017,27.8
Jun 2017,117.6
Jul 2017,61
Aug 2017,82.8
Sep 2017,110.6
Oct 2017,81.4
Nov 2017,86
Dec 2017,56.6
Jan 2018,70.8
Feb 2018,53.2
Mar 2018,83
Apr 2018,43.4
May 2018,47.2
Jun 2018,48.4
Jul 2018,79
Aug 2018,59
Sep 2018,62.2
Oct 2018,107.4
Nov 2018,244.2
Dec 2018,89.8
Jan 2019,38
Feb 2019,46
Mar 2019,90.8
Apr 2019,58.6
May 2019,115.8
Jun 2019,96.8
Jul 2019,127.6
Aug 2019,161.4
Sep 2019,100
Oct 2019,87.4
Nov 2019,197.4
Dec 2019,90.2
Jan 2020,100.6
Feb 2020,199
Mar 2020,49.2
Apr 2020,18
May 2020,54.2
Jun 2020,60.8
Jul 2020,78
Aug 2020,104
Sep 2020,39.2
Oct 2020,232.6
Nov 2020,90.6
Dec 2020,201.8
Jan 2021,39.6
Feb 2021,197.4
Mar 2021,69.4
Apr 2021,16.6
May 2021,192.8
Jun 2021,10.8
Jul 2021,107
Aug 2021,169.8
Sep 2021,73.8
Oct 2021,173.4
Nov 2021,75
Dec 2021,102.6
Jan 2022,23.8
Feb 2022,103
Mar 2022,109.8
Apr 2022,45.8
May 2022,70
Jun 2022,46
Jul 2022,42.6
Aug 2022,65.2
Sep 2022,151.4
Oct 2022,132
Nov 2022,289.6
Dec 2022,104.8
Jan 2023,69.6
Feb 2023,35.6
Mar 2023,86.4
Apr 2023,92.4
May 2023,28
Jun 2023,38.4
Jul 2023,114.4
Aug 2023,77
Sep 2023,143.8
Oct 2023,384.8
Nov 2023,91.6
Dec 2023,241.2
Jan 2024,121.2
Feb 2024,65.4
Mar 2024,118
Apr 2024,110.8
May 2024,71
Jun 2024,42
Jul 2024,113
Aug 2024,72.8
Sep 2024,37.8
Oct 2024,80.4
Nov 2024,21.4
Dec 2024,125.2
Jan 2025,61
Feb 2025,102.4
Mar 2025,41.8
Apr 2025,21.8
May 2025,39
Jun 2025,52.8
Jul 2025,29.6
Aug 2025,16
