Timestamp,Value
Jun 2015,201.4
Jul 2015,280.2
Aug 2015,253.6
Sep 2015,67.2
Oct 2015,207.8
Nov 2015,511.6
Dec 2015,767.4
Jan 2016,449
Feb 2016,329.6
Mar 2016,124.6
Apr 2016,119.8
May 2016,116.6
Jun 2016,125.6
Jul 2016,185.6
Aug 2016,135.6
Sep 2016,282.8
Oct 2016,76
Nov 2016,128.8
Dec 2016,256.6
Jan 2017,167.2
Feb 2017,306.6
Mar 2017,233.2
Apr 2017,65.8
May 2017,35.8
Jun 2017,116
Jul 2017,109.8
Aug 2017,235.4
Sep 2017,190.2
Oct 2017,384.8
Nov 2017,232.4
Dec 2017,290.4
Jan 2018,420
Feb 2018,161.2
Mar 2018,155
Apr 2018,173.8
May 2018,93.6
Jun 2018,176.2
Jul 2018,156.2
Aug 2018,185.6
Sep 2018,339.4
Oct 2018,432.8
Nov 2018,424.6
Dec 2018,305.4
Jan 2019,181.8
Feb 2019,256.6
Mar 2019,373.8
Apr 2019,70.8
May 2019,125.8
Jun 2019,199
Jul 2019,169.2
Aug 2019,397.4
Sep 2019,249.4
Oct 2019,274
Nov 2019,98.8
Dec 2019,487.8
Jan 2020,538.8
Feb 2020,485.6
Mar 2020,247.8
Apr 2020,45.4
May 2020,132
Jun 2020,196.4
Jul 2020,207
Aug 2020,220.8
Sep 2020,278.2
Oct 2020,445.4
Nov 2020,444.8
Dec 2020,348.4
Jan 2021,232.6
Feb 2021,393.6
Mar 2021,355.4
Apr 2021,47.4
May 2021,125
Jun 2021,40.2
Jul 2021,41.6
Aug 2021,147.8
Sep 2021,180.4
Oct 2021,428.6
Nov 2021,271.6
Dec 2021,219.4
Jan 2022,251.8
Feb 2022,527.2
Mar 2022,122.8
Apr 2022,116.4
May 2022,259.4
Jun 2022,204
Jul 2022,167
Aug 2022,127
Sep 2022,226.4
Oct 2022,487.8
Nov 2022,436.6
Dec 2022,277.2
Jan 2023,415.8
Feb 2023,207.4
Mar 2023,238.6
Apr 2023,145.6
May 2023,50.2
Jun 2023,110.6
Jul 2023,280.2
Aug 2023,183
Sep 2023,340.4
Oct 2023,335
Nov 2023,200.6
Dec 2023,459.2
Jan 2024,361.4
Feb 2024,316.6
Mar 2024,179
Apr 2024,252.2
May 2024,140.2
Jun 2024,133.4
Jul 2024,123.2
Aug 2024,481.6
Sep 2024,99.8
Oct 2024,227.4
Nov 2024,135.4
Dec 2024,543.6
Jan 2025,197.1
Feb 2025,275.8
Mar 2025,178.8
Apr 2025,97.2
May 2025,22.2
