Timestamp,Value
Jun 2015,0
Jul 2015,0
Aug 2015,0
Sep 2015,0
Oct 2015,0.4
Nov 2015,55.6
Dec 2015,81.6
Jan 2016,242.8
Feb 2016,37.4
Mar 2016,10.4
Apr 2016,89.8
May 2016,22
Jun 2016,107.4
Jul 2016,72
Aug 2016,48.4
Sep 2016,18
Oct 2016,87.2
Nov 2016,73.6
Dec 2016,34.8
Jan 2017,46
Feb 2017,59.6
Mar 2017,54.6
Apr 2017,65
May 2017,27.4
Jun 2017,135.4
Jul 2017,65.2
Aug 2017,17.4
Sep 2017,90
Oct 2017,69.6
Nov 2017,101.6
Dec 2017,6.4
Jan 2018,19.6
Feb 2018,36.4
Mar 2018,150.8
Apr 2018,51.6
May 2018,24.2
Jun 2018,24.6
Jul 2018,53
Aug 2018,31.2
Sep 2018,39.8
Oct 2018,90.8
Nov 2018,104.6
Dec 2018,59
Jan 2019,40.8
Feb 2019,22.2
Mar 2019,46.6
Apr 2019,35.6
May 2019,66.2
Jun 2019,62.8
Jul 2019,18.6
Aug 2019,58.4
Sep 2019,71.4
Oct 2019,84.2
Nov 2019,148.8
Dec 2019,57
Jan 2020,31.6
Feb 2020,66.2
Mar 2020,14.2
Apr 2020,14
May 2020,40.8
Jun 2020,52.2
Jul 2020,96
Aug 2020,55.4
Sep 2020,43
Oct 2020,176
Nov 2020,21.6
Dec 2020,126.2
Jan 2021,82.6
Feb 2021,71.4
Mar 2021,39.6
Apr 2021,17.6
May 2021,110.4
Jun 2021,14.4
Jul 2021,74
Aug 2021,81.6
Sep 2021,66.8
Oct 2021,129.8
Nov 2021,15.2
Dec 2021,12.2
Jan 2022,20.4
Feb 2022,45
Mar 2022,41.4
Apr 2022,62.6
May 2022,44
Jun 2022,15
Jul 2022,45.8
Aug 2022,32.2
Sep 2022,103.6
Oct 2022,79.6
Nov 2022,137.4
Dec 2022,102.6
Jan 2023,44.4
Feb 2023,24.6
Mar 2023,64.6
Apr 2023,51
May 2023,32.8
Jun 2023,45.6
Jul 2023,84.2
Aug 2023,63.6
Sep 2023,50.2
Oct 2023,227.4
Nov 2023,77.8
Dec 2023,189.6
Jan 2024,57
Feb 2024,69
Mar 2024,66.2
Apr 2024,79.4
May 2024,43.6
Jun 2024,40
Jul 2024,74.4
Aug 2024,46
Sep 2024,47.2
Oct 2024,58
Nov 2024,17.2
Dec 2024,85.2
Jan 2025,38.2
Feb 2025,28.8
Mar 2025,26.6
Apr 2025,8.6
May 2025,3.4
