Timestamp,Value
Jun 2015,68.2
Jul 2015,123.6
Aug 2015,84
Sep 2015,21.4
Oct 2015,68.4
Nov 2015,219.4
Dec 2015,175.6
Jan 2016,103.8
Feb 2016,117.4
Mar 2016,51.4
Apr 2016,78.6
May 2016,83.2
Jun 2016,65.4
Jul 2016,104.6
Aug 2016,86.6
Sep 2016,95.8
Oct 2016,25.6
Nov 2016,80
Dec 2016,80.4
Jan 2017,63.6
Feb 2017,87.2
Mar 2017,80.8
Apr 2017,17.6
May 2017,58
Jun 2017,130.2
Jul 2017,83.4
Aug 2017,129
Sep 2017,88
Oct 2017,129
Nov 2017,98.8
Dec 2017,72.8
Jan 2018,168.6
Feb 2018,48
Mar 2018,60.4
Apr 2018,63.2
May 2018,22.2
Jun 2018,45.4
Jul 2018,71.4
Aug 2018,100.4
Sep 2018,66.8
Oct 2018,81.2
Nov 2018,109.2
Dec 2018,79
Jan 2019,52.4
Feb 2019,56
Mar 2019,117.8
Apr 2019,39.8
May 2019,41.6
Jun 2019,61.6
Jul 2019,138.4
Aug 2019,178.2
Sep 2019,84
Oct 2019,104.2
Nov 2019,63.6
Dec 2019,150.4
Jan 2020,85.6
Feb 2020,223.6
Mar 2020,69
Apr 2020,14.6
May 2020,41
Jun 2020,151.4
Jul 2020,131.2
Aug 2020,116.4
Sep 2020,91
Oct 2020,149.4
Nov 2020,121
Dec 2020,101.2
Jan 2021,110.2
Feb 2021,68
Mar 2021,51.4
Apr 2021,6.6
May 2021,45
Jun 2021,41.6
Jul 2021,26.4
Aug 2021,68.4
Sep 2021,76.6
Oct 2021,171.2
Nov 2021,70.6
Dec 2021,86.8
Jan 2022,71.2
Feb 2022,156.8
Mar 2022,32.4
Apr 2022,58.8
May 2022,64.4
Jun 2022,61.6
Jul 2022,40
Aug 2022,41.8
Sep 2022,129
Oct 2022,152.4
Nov 2022,78.8
Dec 2022,102.8
Jan 2023,117.4
Feb 2023,32.4
Mar 2023,98
Apr 2023,53.4
May 2023,27.6
Jun 2023,63.6
Jul 2023,114.8
Aug 2023,48.6
Sep 2023,78.4
Oct 2023,85.6
Nov 2023,83.8
Dec 2023,137.4
Jan 2024,87.8
Feb 2024,98.8
Mar 2024,90.8
Apr 2024,102
May 2024,71.6
Jun 2024,43.6
Jul 2024,42.2
Aug 2024,155.8
Sep 2024,33.8
Oct 2024,59.2
Nov 2024,43
Dec 2024,80.6
Jan 2025,33
Feb 2025,57.2
Mar 2025,29
Apr 2025,33.8
May 2025,9.4
