Timestamp,Value
Aug 2017,3.6
Sep 2017,75.6
Oct 2017,59.8
Nov 2017,67.2
Dec 2017,49.4
Jan 2018,99.2
Feb 2018,55
Mar 2018,96.6
Apr 2018,29.6
May 2018,4.2
Jun 2018,2.4
Jul 2018,19.8
Aug 2018,106.2
Sep 2018,74.8
Oct 2018,22.4
Nov 2018,60.2
Dec 2018,70.2
Jan 2019,19.4
Feb 2019,47.6
Mar 2019,176.2
Apr 2019,90.8
May 2019,83.8
Jun 2019,201.2
Jul 2019,155
Aug 2019,225.6
Sep 2019,125.6
Oct 2019,105.8
Nov 2019,188.8
Dec 2019,28.2
Jan 2020,109.6
Feb 2020,322
Mar 2020,88.2
Apr 2020,5.4
May 2020,22.2
Jun 2020,97.2
Jul 2020,74
Aug 2020,51
Oct 2023,48.8
Nov 2023,65.2
Dec 2023,111.4
Jan 2024,86.8
Feb 2024,32.8
Mar 2024,67.6
Apr 2024,102
May 2024,97.2
Jun 2024,41.2
Jul 2024,35.6
Aug 2024,90.2
Sep 2024,48.2
Oct 2024,90.4
Nov 2024,27.6
Dec 2024,54.2
Jan 2025,47.6
Feb 2025,31.6
Mar 2025,14.4
Apr 2025,8.6
May 2025,0.4
