Timestamp,Value
Jun 2015,43.8
Jul 2015,159.8
Aug 2015,77.6
Sep 2015,20.8
Oct 2015,65.8
Nov 2015,269.2
Dec 2015,249.8
Jan 2016,170
Feb 2016,136.4
Mar 2016,48.2
Apr 2016,63.6
May 2016,61.4
Jun 2016,67.8
Jul 2016,128
Aug 2016,77.2
Sep 2016,118.6
Oct 2016,30.8
Nov 2016,75
Dec 2016,84.4
Jan 2017,61.4
Feb 2017,103.8
Mar 2017,87.4
Apr 2017,18.8
May 2017,65
Jun 2017,113.4
Jul 2017,95.6
Aug 2017,104.2
Sep 2017,113.2
Oct 2017,131.4
Nov 2017,76.6
Dec 2017,95.8
Jan 2018,140
Feb 2018,47
Mar 2018,80
Apr 2018,56.8
May 2018,15.8
Jun 2018,74.4
Jul 2018,58.2
Aug 2018,71.8
Sep 2018,84.4
Oct 2018,80.4
Nov 2018,129.2
Dec 2018,103.2
Jan 2019,45.6
Feb 2019,60
Mar 2019,124
Apr 2019,28.4
May 2019,97.2
Jun 2019,65.8
Jul 2019,101.2
Aug 2019,164.2
Sep 2019,87.4
Oct 2019,129
Nov 2019,51.6
Dec 2019,136.2
Jan 2020,96.8
Feb 2020,239
Mar 2020,70.4
Apr 2020,28.4
May 2020,48.4
Jun 2020,114.6
Jul 2020,137.4
Aug 2020,148.8
Sep 2020,90
Oct 2020,145
Nov 2020,116.2
Dec 2020,101
Jan 2021,114.4
Feb 2021,123.6
Mar 2021,101
Apr 2021,8
May 2021,58
Jun 2021,33.6
Jul 2021,63.2
Aug 2021,116.8
Sep 2021,117.8
Oct 2021,186.8
Nov 2021,71.8
Dec 2021,110.4
Jan 2022,73.8
Feb 2022,196.8
Mar 2022,35.6
Apr 2022,47.6
May 2022,51.4
Jun 2022,61.6
Jul 2022,63.8
Aug 2022,77.8
Sep 2022,96.8
Oct 2022,203.8
Nov 2022,129.2
Dec 2022,152
Jan 2023,141.6
Feb 2023,48.4
Mar 2023,127.4
Apr 2023,60.4
May 2023,41.4
Jun 2023,85.4
Jul 2023,162.2
Aug 2023,56
Sep 2023,133.8
Oct 2023,151.8
Nov 2023,85
Dec 2023,214.4
Jan 2024,134
Feb 2024,113.8
Mar 2024,104.6
Apr 2024,124.8
May 2024,79.6
Jun 2024,42
Jul 2024,71.2
Aug 2024,210.6
Sep 2024,60
Oct 2024,81.6
Nov 2024,55
Dec 2024,131.4
Jan 2025,51.2
Feb 2025,83.8
Mar 2025,47
Apr 2025,53.4
May 2025,0
