Timestamp,Value
Sep 2015,41.8
Oct 2015,111.4
Nov 2015,290.6
Dec 2015,450.2
Jan 2016,237.2
Feb 2016,217.8
Mar 2016,127.4
Apr 2016,122.2
May 2016,141.8
Jun 2016,103.4
Jul 2016,226.8
Aug 2016,187.8
Sep 2016,232
Oct 2016,75.8
Nov 2016,152
Dec 2016,251
Jan 2017,156.6
Feb 2017,170
Mar 2017,166
Apr 2017,147.8
May 2017,42.6
Jun 2017,146.6
Jul 2017,151.4
Aug 2017,219
Sep 2017,172
Oct 2017,352.8
Nov 2017,259.4
Dec 2017,240.8
Jan 2018,246.6
Feb 2018,151
Mar 2018,87.6
Apr 2018,99.8
May 2018,59.6
Jun 2018,87.4
Jul 2018,94
Aug 2018,159.8
Sep 2018,325.8
Oct 2018,285.4
Nov 2018,160.4
Dec 2018,184.4
Jan 2019,224
Feb 2019,201.4
Mar 2019,273.6
Apr 2019,41
May 2019,157.2
Jun 2019,114.2
Jul 2019,157.4
Aug 2019,273.2
Sep 2019,153.6
Oct 2019,234.8
Nov 2019,24
Dec 2019,289.2
Jan 2020,376
Feb 2020,366
Mar 2020,253.8
Apr 2020,42.4
May 2020,130.8
Jun 2020,176.6
Jul 2020,157.8
Aug 2020,88.8
Sep 2020,234
Oct 2020,328.2
Nov 2020,261.2
Dec 2020,239.4
Jan 2021,210.2
Feb 2021,128.6
Mar 2021,251.4
Apr 2021,62
May 2021,72.6
Jun 2021,52.8
Jul 2021,112.4
Aug 2021,128.8
Sep 2021,108.6
Oct 2021,34.4
Nov 2021,23.4




Apr 2022,11
May 2022,226.4
Jun 2022,116.8
Jul 2022,148.2
Aug 2022,111.4
Sep 2022,107.4
Oct 2022,230
Nov 2022,202.4
Dec 2022,135.6
Jan 2023,241.8
Feb 2023,218
Mar 2023,124.8
Apr 2023,84.2
May 2023,34.2
Jun 2023,111.2
Jul 2023,42.2
Aug 2023,96.2
Sep 2023,230.8
Oct 2023,263
Nov 2023,9
Dec 2023,122.2
Jan 2024,240
Feb 2024,162.8
Mar 2024,89.2
Apr 2024,128.4
May 2024,55.4
Jun 2024,143.6
Jul 2024,123.8
Aug 2024,285
Sep 2024,101
Oct 2024,181.8
Nov 2024,154.4
Dec 2024,414.2
Jan 2025,104.4
Feb 2025,160.8
Mar 2025,114.8
Apr 2025,48
May 2025,111.6
Jun 2025,194.6
Jul 2025,176
Aug 2025,132.2
