Timestamp,Value
Jun 2015,113.6
Jul 2015,184.4
Aug 2015,139.8
Sep 2015,47
Oct 2015,104.8
Nov 2015,298.4
Dec 2015,488.2
Jan 2016,308
Feb 2016,184.2
Mar 2016,90.6
Apr 2016,67.4
May 2016,74.6
Jun 2016,68.8
Jul 2016,112.2
Aug 2016,86.4
Sep 2016,208.6
Oct 2016,50.8
Nov 2016,96.2
Dec 2016,201.6
Jan 2017,87
Feb 2017,190.8
Mar 2017,140
Apr 2017,25
May 2017,56.2
Jun 2017,147.2
Jul 2017,100.2
Aug 2017,120
Sep 2017,140.2
Oct 2017,172.8
Nov 2017,102.4
Dec 2017,148.8
Jan 2018,239.6
Feb 2018,92
Mar 2018,79.8
Apr 2018,113.4
May 2018,40
Jun 2018,87.6
Jul 2018,79.2
Aug 2018,82
Sep 2018,189
Oct 2018,157.6
Nov 2018,282.6
Dec 2018,165.2
Jan 2019,62
Feb 2019,120.2
Mar 2019,212.4
Apr 2019,69.8
May 2019,90.8
Jun 2019,109.2
Jul 2019,114.2
Aug 2019,168.6
Sep 2019,143
Oct 2019,174.6
Nov 2019,59.2
Dec 2019,250.8
Jan 2020,246.6
Feb 2020,394.8
Mar 2020,146.2
Apr 2020,31.8
May 2020,95
Jun 2020,118.2
Jul 2020,129.6
Aug 2020,133.2
Sep 2020,137.8
Oct 2020,203.6
Nov 2020,213.4
Dec 2020,205.2
Jan 2021,98.6
Feb 2021,265.8
Mar 2021,185.4
Apr 2021,29.4
May 2021,143
Jun 2021,51.8
Jul 2021,78
Aug 2021,92
Sep 2021,84.4
Oct 2021,228.2
Nov 2021,110.8
Dec 2021,146.2
Jan 2022,132.4
Feb 2022,297
Mar 2022,112
Apr 2022,54.6
May 2022,104.4
Jun 2022,112.8
Jul 2022,84
Aug 2022,59.8
Sep 2022,143.2
Oct 2022,263.8
Nov 2022,278.2
Dec 2022,165.6
Jan 2023,189.2
Feb 2023,98.2
Mar 2023,125.6
Apr 2023,85.8
May 2023,28.8
Jun 2023,72.2
Jul 2023,170
Aug 2023,83.6
Sep 2023,199.8
Oct 2023,249.4
Nov 2023,134.8
Dec 2023,267.4
Jan 2024,201.6
Feb 2024,166.2
Mar 2024,126.2
Apr 2024,151.6
May 2024,94.8
Jun 2024,80
Jul 2024,62.8
Aug 2024,184.6
Sep 2024,47.4
Oct 2024,127
Nov 2024,65
Dec 2024,287.8
Jan 2025,93.4
Feb 2025,162.8
Mar 2025,95.8
Apr 2025,45.6
May 2025,7.4
