Timestamp,Value
Sep 2015,33.6
Oct 2015,80.6
Nov 2015,253.4
Dec 2015,286.6
Jan 2016,179.6
Feb 2016,132.4
Mar 2016,38
Apr 2016,55.4
May 2016,89.2
Jun 2016,78.8
Jul 2016,129.8
Aug 2016,63
Sep 2016,129.6
Oct 2016,3.8
Nov 2016,61.6
Dec 2016,140.8
Jan 2017,38.6
Feb 2017,117.2
Mar 2017,123
Apr 2017,18.6
May 2017,51.8
Jun 2017,120.6
Jul 2017,87.6
Aug 2017,118
Sep 2017,94
Oct 2017,92.6
Nov 2017,62
Dec 2017,86.8
Jan 2018,143.8
Feb 2018,49
Mar 2018,90
Apr 2018,76.4
May 2018,36.4
Jun 2018,70
Jul 2018,42.8
Aug 2018,96.6
Sep 2018,120.2
Oct 2018,87
Nov 2018,161
Dec 2018,82.6
Jan 2019,36
Feb 2019,71.2
Mar 2019,129.2
Apr 2019,45.8
May 2019,73.6
Jun 2019,69.4
Jul 2019,101.2
Aug 2019,8.9


























Nov 2021,0
Dec 2021,67
Jan 2022,83.8
Feb 2022,215.2
Mar 2022,40.8
Apr 2022,38.6
May 2022,70.6
Jun 2022,62.8
Jul 2022,49.2
Aug 2022,95
Sep 2022,120.2
Oct 2022,171.2
Nov 2022,167.8
Dec 2022,160.8
Jan 2023,173.6
Feb 2023,62.6
Mar 2023,117.2
Apr 2023,42.8
May 2023,35.8
Jun 2023,64
Jul 2023,117.8
Aug 2023,72.4
Sep 2023,129.8
Oct 2023,55.8
Nov 2023,69.8
Dec 2023,163
Jan 2024,132.4
Feb 2024,88.6
Mar 2024,95.2
Apr 2024,124.4
May 2024,72.4
Jun 2024,48.6
Jul 2024,52.2
Aug 2024,203.2
Sep 2024,43
Oct 2024,70.4
Nov 2024,55
Dec 2024,175.6
Jan 2025,69
Feb 2025,93.6
Mar 2025,69.6
Apr 2025,38
May 2025,69.8
Jun 2025,87.8
Jul 2025,48.6
Aug 2025,38
