Timestamp,Value
Sep 2015,39.8
Oct 2015,105.6
Nov 2015,144.8
Dec 2015,304
Jan 2016,290.4
Feb 2016,106.2
Mar 2016,58.4
Apr 2016,64.8
May 2016,46.2
Jun 2016,97.8
Jul 2016,98.4
Aug 2016,70.8
Sep 2016,79.6
Oct 2016,72.4
Nov 2016,62.8
Dec 2016,88.2
Jan 2017,61.8
Feb 2017,107.2
Mar 2017,84.2
Apr 2017,21.4
May 2017,60
Jun 2017,104.4
Jul 2017,61.6
Aug 2017,103.8
Sep 2017,110.6
Oct 2017,94.4
Nov 2017,78.2
Dec 2017,32.4
Jan 2018,86
Feb 2018,20.2
Mar 2018,71.8
Apr 2018,54.4
May 2018,50
Jun 2018,69.4
Jul 2018,76.4
Aug 2018,66.8
Sep 2018,91.2
Oct 2018,78.4
Nov 2018,176.2
Dec 2018,106.2
Jan 2019,27.4
Feb 2019,54.4
Mar 2019,98.4
Apr 2019,43.4
May 2019,97.8
Jun 2019,87.6
Jul 2019,133.4
Aug 2019,142.6
Sep 2019,81.6
Oct 2019,61.4
Nov 2019,86.2
Dec 2019,137.8
Jan 2020,93.8
Feb 2020,141.8
Mar 2020,64.2
Apr 2020,16
May 2020,46.6
Jun 2020,43.8
Jul 2020,133.6
Aug 2020,113.6
Sep 2020,62.2
Oct 2020,196.2
Nov 2020,86
Dec 2020,152.6
Jan 2021,3
Feb 2021,79.2
Mar 2021,77.2
Apr 2021,18.6
May 2021,123.2
Jun 2021,28.4
Jul 2021,87.6
Aug 2021,89.4
Sep 2021,81.2
Oct 2021,174
Nov 2021,74.2
Dec 2021,87.2
Jan 2022,35
Feb 2022,148.2
Mar 2022,85.4
Apr 2022,58
May 2022,84.8
Jun 2022,69.2
Jul 2022,71.2
Aug 2022,81.8
Sep 2022,111.8
Oct 2022,140.2
Nov 2022,205.4
Dec 2022,79.6
Jan 2023,103
Feb 2023,50.6
Mar 2023,97.8
Apr 2023,102.4
May 2023,24.2
Jun 2023,45.2
Jul 2023,121.2
Aug 2023,74.4
Sep 2023,162.6
Oct 2023,252.8
Nov 2023,70.8
Dec 2023,219.6
Jan 2024,110
Feb 2024,89.8
Mar 2024,97.2
Apr 2024,81.4
May 2024,48.2
Jun 2024,51.6
Jul 2024,54.8
Aug 2024,114.8
Sep 2024,51.4
Oct 2024,80.8
Nov 2024,51.8
Dec 2024,129
Jan 2025,56.2
Feb 2025,87.4
Mar 2025,38.8
Apr 2025,23
May 2025,59.2
Jun 2025,67.4
Jul 2025,79.2
Aug 2025,52.2
