Timestamp,Value
Sep 2015,23.2
Oct 2015,35.4
Nov 2015,119.2
Dec 2015,147
Jan 2016,123.2
Feb 2016,63.6
Mar 2016,25.4
Apr 2016,73.8
May 2016,25
Jun 2016,73
Jul 2016,56.6
Aug 2016,47
Sep 2016,51.4
Oct 2016,47.8
Nov 2016,57.8
Dec 2016,62.8
Jan 2017,23.8
Feb 2017,71.6
Mar 2017,68.4
Apr 2017,5
May 2017,30.8
Jun 2017,151
Jul 2017,72
Aug 2017,92
Sep 2017,72.8
Oct 2017,52
Nov 2017,36.6
Dec 2017,48.8
Jan 2018,72.4
Feb 2018,26.6
Mar 2018,65.8
Apr 2018,62.2
May 2018,25.6
Jun 2018,41.6
Jul 2018,36.6
Aug 2018,83
Sep 2018,57.8
Oct 2018,39.8
Nov 2018,69.6
Dec 2018,34.2
Jan 2019,11.2
Feb 2019,18.8
Mar 2019,83.6
Apr 2019,37
May 2019,75.4
Jun 2019,106.4
Jul 2019,110
Aug 2019,131.8
Sep 2019,101
Oct 2019,78
Nov 2019,85.6
Dec 2019,54.4
Jan 2020,73.2
Feb 2020,145
Mar 2020,41.8
Apr 2020,8.2
May 2020,15.6
Jun 2020,80.6
Jul 2020,93.4
Aug 2020,169.6
Sep 2020,69
Oct 2020,130.8
Nov 2020,64.6
Dec 2020,110.4
Jan 2021,96
Feb 2021,52.8
Mar 2021,30
Apr 2021,8.2
May 2021,105.6
Jun 2021,27.4
Jul 2021,58.8
Aug 2021,70.8
Sep 2021,61.2
Oct 2021,122.6
Nov 2021,31.2
Dec 2021,62.8
Jan 2022,24
Feb 2022,91.6
Mar 2022,22.6
Apr 2022,32
May 2022,31.6
Jun 2022,37.8
Jul 2022,33.6
Aug 2022,66.8
Sep 2022,62.8
Oct 2022,89.4
Nov 2022,98.8
Dec 2022,79.8
Jan 2023,49
Feb 2023,28.6
Mar 2023,97.2
Apr 2023,31.6
May 2023,27.8
Jun 2023,68.8
Jul 2023,105.4
Aug 2023,42.6
Sep 2023,76.8
Oct 2023,129
Nov 2023,57.4
Dec 2023,99
Jan 2024,55.6
Feb 2024,46.8
Mar 2024,73
Apr 2024,103.4
May 2024,115.2
Jun 2024,37.8
Jul 2024,35.8
Aug 2024,70.4
Sep 2024,31.8
Oct 2024,69.4
Nov 2024,18.4
Dec 2024,61.2
Jan 2025,32.4
Feb 2025,30
Mar 2025,20.8
Apr 2025,21.4
May 2025,50.8
Jun 2025,65.8
Jul 2025,62.8
Aug 2025,19.8
