Timestamp,Value
Jun 2015,55.6
Jul 2015,132.6
Aug 2015,72
Sep 2015,33.6
Oct 2015,70.8
Nov 2015,271.4
Dec 2015,352.6
Jan 2016,220
Feb 2016,134.6
Mar 2016,94.6
Apr 2016,76
May 2016,54.6
Jun 2016,68.8
Jul 2016,135.4
Aug 2016,93.4
Sep 2016,133.8
Oct 2016,60.2
Nov 2016,91
Dec 2016,100.4
Jan 2017,55.4
Feb 2017,128.4
Mar 2017,102
Apr 2017,26
May 2017,47.8
Jun 2017,152.8
Jul 2017,93.6
Aug 2017,122.2
Sep 2017,88
Oct 2017,126.2
Nov 2017,111.4
Dec 2017,98.8
Jan 2018,153.4
Feb 2018,72
Mar 2018,82
Apr 2018,76.8
May 2018,32.2
Jun 2018,91.6
Jul 2018,50.2
Aug 2018,86.2
Sep 2018,108.4
Oct 2018,111
Nov 2018,184.2
Dec 2018,91.8
Jan 2019,40
Feb 2019,93.8
Mar 2019,185
Apr 2019,56.8
May 2019,61.2
Jun 2019,83.8
Jul 2019,91.4
Aug 2019,105.2
Sep 2019,82.9
Oct 2019,77.2
Nov 2019,79.8
Dec 2019,141
Jan 2020,186.2
Feb 2020,314.6
Mar 2020,98.4
Apr 2020,14.6
May 2020,50.8
Jun 2020,128.8
Jul 2020,116.6
Aug 2020,152.6
Sep 2020,80.6
Oct 2020,165.4
Nov 2020,149.6
Dec 2020,169.6
Jan 2021,123
Feb 2021,80.6
Mar 2021,109.2
Apr 2021,21.6
May 2021,100.4
Jun 2021,22.6
Jul 2021,28.4
Aug 2021,92.2
Sep 2021,111.8
Oct 2021,210
Nov 2021,83.6
Dec 2021,101.8
Jan 2022,57.4
Feb 2022,258.2
Mar 2022,74
Apr 2022,51
May 2022,67
Jun 2022,50.8
Jul 2022,54.4
Aug 2022,61
Sep 2022,138.8
Oct 2022,165.4
Nov 2022,177.6
Dec 2022,152.4
Jan 2023,175
Feb 2023,59
Mar 2023,122.4
Apr 2023,44.2
May 2023,35.4
Jun 2023,61.2
Jul 2023,168.2
Aug 2023,85.8
Sep 2023,154.2
Oct 2023,94
Nov 2023,95.8
Dec 2023,197.2
Jan 2024,157.4
Feb 2024,85.4
Mar 2024,123.6
Apr 2024,144.2
May 2024,97.8
Jun 2024,70.4
Jul 2024,63.6
Aug 2024,175.4
Sep 2024,46
Oct 2024,85.6
Nov 2024,64.8
Dec 2024,113
Jan 2025,67.4
Feb 2025,112.4
Mar 2025,55.8
Apr 2025,44
May 2025,9
