Timestamp,Value
Jun 2015,53.2
Jul 2015,151.4
Aug 2015,66.8
Sep 2015,17.2
Oct 2015,55
Nov 2015,194.6
Dec 2015,278.6
Jan 2016,209.2
Feb 2016,100.4
Mar 2016,29
Apr 2016,58.4
May 2016,42.8
Jun 2016,82.8
Jul 2016,79.8
Aug 2016,43.2
Sep 2016,80
Oct 2016,48.8
Nov 2016,40.4
Dec 2016,102.8
Jan 2017,35.6
Feb 2017,88.2
Mar 2017,71.2
Apr 2017,10.4
May 2017,44
Jun 2017,137.8
Jul 2017,67.4
Aug 2017,104.8
Sep 2017,72
Oct 2017,74
Nov 2017,46.8
Dec 2017,52.4
Jan 2018,106.8
Feb 2018,37
Mar 2018,111.8
Apr 2018,65.4
May 2018,21
Jun 2018,45.6
Jul 2018,45.8
Aug 2018,54.4
Sep 2018,70.2
Oct 2018,52.6
Nov 2018,151.6
Dec 2018,83.2
Jan 2019,13.6
Feb 2019,42.8
Mar 2019,104.8
Apr 2019,36
May 2019,80
Jun 2019,66.4
Jul 2019,90.6
Aug 2019,143.2
Sep 2019,81.2
Oct 2019,89.6
Nov 2019,88.2
Dec 2019,144.4
Jan 2020,116
Feb 2020,241
Mar 2020,70.4
Apr 2020,2.4
May 2020,16
Jun 2020,68.2
Jul 2020,114
Aug 2020,127.6
Sep 2020,69.2
Oct 2020,169.2
Nov 2020,74.4
Dec 2020,131.8
Jan 2021,69.6
Feb 2021,135.4
Mar 2021,78.4
Apr 2021,1.2
May 2021,77
Jun 2021,25.2
Jul 2021,78.6
Aug 2021,43.6
Sep 2021,67.6
Oct 2021,139.8
Nov 2021,45.6
Dec 2021,78
Jan 2022,47.4
Feb 2022,150.8
Mar 2022,28.6
Apr 2022,32.8
May 2022,44.4
Jun 2022,43.4
Jul 2022,35.8
Aug 2022,62.8
Sep 2022,113.8
Oct 2022,138.6
Nov 2022,138.2
Dec 2022,83.6
Jan 2023,116.2
Feb 2023,37.8
Mar 2023,99.4
Apr 2023,42.8
May 2023,19.2
Jun 2023,60.4
Jul 2023,111
Aug 2023,78
Sep 2023,122
Oct 2023,214.4
Nov 2023,80.2
Dec 2023,140.2
Jan 2024,112.6
Feb 2024,69.4
Mar 2024,103.6
Apr 2024,118.8
May 2024,104.2
Jun 2024,50.4
Jul 2024,40.6
Aug 2024,124.6
Sep 2024,43.2
Oct 2024,64.2
Nov 2024,54.6
Dec 2024,100.8
Jan 2025,60.4
Feb 2025,76
Mar 2025,41.8
Apr 2025,33
May 2025,0.4
