Timestamp,Value
Sep 2015,71.8
Oct 2015,67.8
Nov 2015,186.6
Dec 2015,285.4
Jan 2016,168.4
Feb 2016,84.6
Mar 2016,50
Apr 2016,71.6
May 2016,46.2
Jun 2016,97.4
Jul 2016,130.2
Aug 2016,99.8
Sep 2016,109.6
Oct 2016,32.2
Nov 2016,57.8
Dec 2016,67.4
Jan 2017,42
Feb 2017,89.8
Mar 2017,118.4
Apr 2017,17.8
May 2017,64
Jun 2017,165.4
Jul 2017,138.4
Aug 2017,120.4
Sep 2017,106.4
Oct 2017,100.6
Nov 2017,90.8
Dec 2017,77.4
Jan 2018,121.6
Feb 2018,54.4
Mar 2018,55.2
Apr 2018,66
May 2018,27
Jun 2018,62.4
Jul 2018,49.6
Aug 2018,119.4
Sep 2018,91.8
Oct 2018,107.6
Nov 2018,99.6
Dec 2018,95.6
Jan 2019,33.6
Feb 2019,70.8
Mar 2019,145.8
Apr 2019,38.8
May 2019,56.8
Jun 2019,86.2
Jul 2019,115.2
Aug 2019,176
Sep 2019,198.2
Oct 2019,78
Nov 2019,71.4
Dec 2019,97.8
Jan 2020,112.2
Feb 2020,176.6
Mar 2020,50.4
Apr 2020,9.8
May 2020,17
Jun 2020,128.6
Jul 2020,158.8
Aug 2020,156.4
Sep 2020,78.6
Oct 2020,144.2
Nov 2020,105.4
Dec 2020,103.8
Jan 2021,92.4
Feb 2021,100
Mar 2021,86.6
Apr 2021,9
May 2021,103.4
Jun 2021,24.8
Jul 2021,31.8
Aug 2021,63.4
Sep 2021,87.2
Oct 2021,219.2
Nov 2021,59.6
Dec 2021,93
Jan 2022,28
Feb 2022,133.8
Mar 2022,45.2
Apr 2022,28.6
May 2022,66.6
Jun 2022,75
Jul 2022,54.2
Aug 2022,53.2
Sep 2022,93.6
Oct 2022,179.2
Nov 2022,132.4
Dec 2022,78.6
Jan 2023,104.8
Feb 2023,25.2
Mar 2023,126
Apr 2023,60.8
May 2023,27.6
Jun 2023,57.4
Jul 2023,166.4
Aug 2023,48.6
Sep 2023,141
Oct 2023,70.4
Nov 2023,82.2
Dec 2023,148.8
Jan 2024,128
Feb 2024,98.8
Mar 2024,102.4
Apr 2024,109.4
May 2024,85.4
Jun 2024,56.2
Jul 2024,92.2
Aug 2024,195.4
Sep 2024,46.2
Oct 2024,91
Nov 2024,45.8
Dec 2024,91.4
Jan 2025,58.8
Feb 2025,48.6
Mar 2025,19.8
Apr 2025,29.8
May 2025,63.4
Jun 2025,116.6
Jul 2025,95.8
Aug 2025,55.6
