Timestamp,Value
Sep 2015,48.6
Oct 2015,93.8
Nov 2015,218
Dec 2015,231.6
Jan 2016,188.6
Feb 2016,175.8
Mar 2016,78.4
Apr 2016,111.8
May 2016,56.8
Jun 2016,66.6
Jul 2016,113.2
Aug 2016,69.6
Sep 2016,115.4
Oct 2016,40
Nov 2016,121
Dec 2016,83.4
Jan 2017,95
Feb 2017,155.8
Mar 2017,121.6
Apr 2017,22.6
May 2017,81
Jun 2017,181.6
Jul 2017,142.8
Aug 2017,159.2
Sep 2017,192.4
Oct 2017,165.8
Nov 2017,136.8
Dec 2017,129.8
Jan 2018,198.6
Feb 2018,117.4
Mar 2018,108
Apr 2018,77.6
May 2018,59.8
Jun 2018,56.4
Jul 2018,56.6
Aug 2018,113.4
Sep 2018,100.6
Oct 2018,124.8
Nov 2018,199.8
Dec 2018,140.6
Jan 2019,72.8
Feb 2019,94.4
Mar 2019,191
Apr 2019,70.4
May 2019,57.6
Jun 2019,75.6
Jul 2019,106
Aug 2019,154.6
Sep 2019,160.6
Oct 2019,147
Nov 2019,118
Dec 2019,138.8
Jan 2020,110.2
Feb 2020,202.6
Mar 2020,75
Apr 2020,27.4
May 2020,33
Jun 2020,126.8
Jul 2020,191.2
Aug 2020,147.4
Sep 2020,137
Oct 2020,227.2
Nov 2020,164.8
Dec 2020,135.6
Jan 2021,135.4
Feb 2021,162
Mar 2021,81.4
Apr 2021,12
May 2021,127.8
Jun 2021,20
Jul 2021,28.2
Aug 2021,94.8
Sep 2021,89.6
Oct 2021,257.6
Nov 2021,126
Dec 2021,133.8
Jan 2022,62.6
Feb 2022,172.8
Mar 2022,76.4
Apr 2022,62.8
May 2022,94.8
Jun 2022,102
Jul 2022,63
Aug 2022,91.6
Sep 2022,158.4
Oct 2022,211.8
Nov 2022,208.2
Dec 2022,103.4
Jan 2023,194.6
Feb 2023,43.2
Mar 2023,164.8
Apr 2023,89.4
May 2023,44
Jun 2023,83.2
Jul 2023,182
Aug 2023,78.4
Sep 2023,153.8
Oct 2023,105.8
Nov 2023,140.8
Dec 2023,275.2
Jan 2024,98.2
Feb 2024,115.2
Mar 2024,128.4
Apr 2024,169.6
May 2024,129
Jun 2024,55.4
Jul 2024,95.6
Aug 2024,219.4
Sep 2024,54.2
Oct 2024,97.8
Nov 2024,65.2
Dec 2024,153
Jan 2025,78.8
Feb 2025,83.2
Mar 2025,45
Apr 2025,47.2
May 2025,86.2
Jun 2025,105.4
Jul 2025,96.6
Aug 2025,64.6
