Timestamp,Value
Jun 2015,69.8
Jul 2015,109.4
Aug 2015,124
Sep 2015,65
Oct 2015,58
Nov 2015,231.8
Dec 2015,284.8
Jan 2016,233.4
Feb 2016,160
Mar 2016,73.6
Apr 2016,109.6
May 2016,52.2
Jun 2016,78.8
Jul 2016,115.6
Aug 2016,92.6
Sep 2016,113.8
Oct 2016,36.4
Nov 2016,91
Dec 2016,65.4
Jan 2017,98
Feb 2017,111.4
Mar 2017,122.8
Apr 2017,20.8
May 2017,68.2
Jun 2017,175.8
Jul 2017,109.8
Aug 2017,107.2
Sep 2017,163.4
Oct 2017,131.2
Nov 2017,104.8
Dec 2017,105.6
Jan 2018,150.6
Feb 2018,86
Mar 2018,82.6
Apr 2018,114.8
May 2018,45.8
Jun 2018,49.2
Jul 2018,80.4
Aug 2018,147.8
Sep 2018,109.6
Oct 2018,114.8
Nov 2018,169.4
Dec 2018,159.4
Jan 2019,65
Feb 2019,94
Mar 2019,179.8
Apr 2019,49.8
May 2019,59
Jun 2019,61
Jul 2019,99.2
Aug 2019,244.4
Sep 2019,189.4
Oct 2019,195.4
Nov 2019,109.6
Dec 2019,124.6
Jan 2020,124.4
Feb 2020,181.8
Mar 2020,61.8
Apr 2020,19.6
May 2020,36.6
Jun 2020,91.2
Jul 2020,177.4
Aug 2020,164.2
Sep 2020,106.8
Oct 2020,174.6
Nov 2020,113.6
Dec 2020,158.8
Jan 2021,128.8
Feb 2021,159.8
Mar 2021,78.4
Apr 2021,11
May 2021,129.2
Jun 2021,33.2
Jul 2021,33.2
Aug 2021,78.6
Sep 2021,89
Oct 2021,246.6
Nov 2021,80
Dec 2021,149.4
Jan 2022,55.6
Feb 2022,179
Mar 2022,55.6
Apr 2022,39
May 2022,64.3
Jun 2022,62.5
Jul 2022,56.6
Aug 2022,77.8
Sep 2022,134.2
Oct 2022,155
Nov 2022,192.2
Dec 2022,118.2
Jan 2023,144.4
Feb 2023,47.2
Mar 2023,150.2
Apr 2023,88.6
May 2023,37.6
Jun 2023,44.6
Jul 2023,159.2
Aug 2023,54.4
Sep 2023,154.4
Oct 2023,86.8
Nov 2023,131.6
Dec 2023,235.6
Jan 2024,87.2
Feb 2024,114.2
Mar 2024,134.4
Apr 2024,136.6
May 2024,88.8
Jun 2024,52
Jul 2024,68.8
Aug 2024,230.8
Sep 2024,59
Oct 2024,101.4
Nov 2024,54
Dec 2024,121.2
Jan 2025,84.4
Feb 2025,68
Mar 2025,48.8
Apr 2025,32.6
May 2025,0
