Timestamp,Value
Jun 2015,117
Jul 2015,92.4
Aug 2015,117.4
Sep 2015,48.4
Oct 2015,103.6
Nov 2015,117.4
Dec 2015,11.6
Jan 2016,4
Feb 2016,1
Mar 2016,35.6
Apr 2016,63.6
May 2016,55.2
Jun 2016,39
Jul 2016,112.6
Aug 2016,94.8
Sep 2016,42.2
Oct 2016,0
Nov 2016,17.4
Dec 2016,0
Jan 2017,0
Feb 2017,0.8
Mar 2017,0
Apr 2017,23.8
May 2017,42
Jun 2017,85.2
Jul 2017,64
Aug 2017,67.4
Sep 2017,96
Oct 2017,141.2
Nov 2017,170
Dec 2017,99.8
Jan 2018,139.8
Feb 2018,38.2
Mar 2018,80.2
Apr 2018,45
May 2018,42.6
Jun 2018,17.4
Jul 2018,41
Aug 2018,55
Sep 2018,149
Oct 2018,147.2
Nov 2018,80
Dec 2018,61.4
Jan 2019,116.2
Feb 2019,115
Mar 2019,95.2
Apr 2019,37.8
May 2019,50.8
Jun 2019,67.6
Jul 2019,78.4
Aug 2019,86.8
Sep 2019,117.6
Oct 2019,85.8
Nov 2019,80.8
Dec 2019,109.2




May 2020,19
Jun 2020,31.2
Jul 2020,78.4
Aug 2020,47.4
Sep 2020,71.6
Oct 2020,177.6
Nov 2020,104
Dec 2020,99.2
Jan 2021,116.2
Feb 2021,43.4
Mar 2021,86.8
Apr 2021,35.6
May 2021,35.8
Jun 2021,15.6
Jul 2021,14.6
Aug 2021,39.4
Sep 2021,131.4
Oct 2021,163
Nov 2021,165.2
Dec 2021,60.4
Jan 2022,49
Feb 2022,95.6
Mar 2022,21.6
Apr 2022,117
May 2022,66.8
Jun 2022,26
Jul 2022,62.8
Aug 2022,54.6
Sep 2022,84.4
Oct 2022,130.2
Nov 2022,126
Dec 2022,93.8
Jan 2023,131.8
Feb 2023,95.6
Mar 2023,51.8
Apr 2023,46.8
May 2023,40.4
Jun 2023,30.2
Jul 2023,73.4
Aug 2023,107
Sep 2023,83.8
Oct 2023,123.4
Nov 2023,59.6
Dec 2023,197.8
Jan 2024,149
Feb 2024,119.4
Mar 2024,76.2
Apr 2024,85.8
May 2024,23.2
Jun 2024,76.2
Jul 2024,52.4
Aug 2024,94.8
Sep 2024,68.6
Oct 2024,82
Nov 2024,82.2
Dec 2024,182.2
Jan 2025,85.2
Feb 2025,41.4
Mar 2025,74.8
Apr 2025,28.6
May 2025,6
