Timestamp,Value
Jun 2015,47.2
Jul 2015,157
Aug 2015,81.8
Sep 2015,35.4
Oct 2015,59
Nov 2015,103
Dec 2015,161.8
Jan 2016,225
Feb 2016,50
Mar 2016,38.4
Apr 2016,74.4
May 2016,30.8
Jun 2016,115.8
Jul 2016,67.2
Aug 2016,38.8
Sep 2016,50.2
Oct 2016,78
Nov 2016,43.2
Dec 2016,48
Jan 2017,34.4
Feb 2017,68
Mar 2017,62.8
Apr 2017,10.2
May 2017,40.6
Jun 2017,105
Jul 2017,38.4
Aug 2017,101.8
Sep 2017,76.8
Oct 2017,55.2
Nov 2017,54.6
Dec 2017,30
Jan 2018,48.4
Feb 2018,25.6
Mar 2018,110.2
Apr 2018,28.8
May 2018,35.6
Jun 2018,35
Jul 2018,61.6
Aug 2018,58.6
Sep 2018,46.8
Oct 2018,64.2
Nov 2018,134.4
Dec 2018,64.2
Jan 2019,19.4
Feb 2019,34.6
Mar 2019,71.6
Apr 2019,30.6
May 2019,94.6
Jun 2019,76.6
Jul 2019,83.6
Aug 2019,141.6
Sep 2019,81
Oct 2019,52.8
Nov 2019,112.6
Dec 2019,70.8
Jan 2020,42.4
Feb 2020,137.8
Mar 2020,33.4
Apr 2020,8.8
May 2020,28.4
Jun 2020,50.6
Jul 2020,92.4
Aug 2020,82.2
Sep 2020,19.6
Oct 2020,150.4
Nov 2020,49.8
Dec 2020,77.4
Jan 2021,58.4
Feb 2021,129.4
Mar 2021,37.2
Apr 2021,13.6
May 2021,146.4
Jun 2021,21.4
Jul 2021,60.2
Aug 2021,78.4
Sep 2021,57.4
Oct 2021,112.4
Nov 2021,46.4
Dec 2021,84.4
Jan 2022,18
Feb 2022,85.4
Mar 2022,48.6
Apr 2022,43
May 2022,58.8
Jun 2022,43.4
Jul 2022,59.4
Aug 2022,60
Sep 2022,122
Oct 2022,89.4
Nov 2022,179.4
Dec 2022,98
Jan 2023,47.4
Feb 2023,25
Mar 2023,61.8
Apr 2023,80.4
May 2023,38.6
Jun 2023,45.8
Jul 2023,95.2
Aug 2023,71
Sep 2023,114.4
Oct 2023,306.6
Nov 2023,70.4
Dec 2023,169.4
Jan 2024,88.2
Feb 2024,51.4
Mar 2024,79.6
Apr 2024,74.6
May 2024,65.8
Jun 2024,29.4
Jul 2024,68.2
Aug 2024,69.8
Sep 2024,29.6
Oct 2024,56.8
Nov 2024,33.4
Dec 2024,83
Jan 2025,36.2
Feb 2025,55.8
Mar 2025,27.4
Apr 2025,14.2
May 2025,0
