Timestamp,Value
Jun 2015,72.2
Jul 2015,129.6
Aug 2015,117.4
Sep 2015,109.2
Oct 2015,42.2
Nov 2015,137.6
Dec 2015,126.8
Jan 2016,280.6
Feb 2016,479.2
Mar 2016,98.2
Apr 2016,65.8
May 2016,92
Jun 2016,72.4
Jul 2016,268.6
Aug 2016,203.2
Sep 2016,130
Oct 2016,95.2
Nov 2016,201.4
Dec 2016,269.4
Jan 2017,187.4
Feb 2017,125
Mar 2017,176.8
Apr 2017,192
May 2017,75.4
Jun 2017,153.4
Jul 2017,125.2
Aug 2017,179.4
Sep 2017,142.6
Oct 2017,322
Nov 2017,306.4
Dec 2017,268
Jan 2018,225.8
Feb 2018,129.8
Mar 2018,111.4
Apr 2018,84.8
May 2018,51.6
Jun 2018,80.8
Jul 2018,87.4
Aug 2018,154.6
Sep 2018,295.8
Oct 2018,345.8
Nov 2018,87.8
Dec 2018,179.4
Jan 2019,255.8
Feb 2019,148.8
Mar 2019,257.4
Apr 2019,51.8
May 2019,174.4
Jun 2019,123
Jul 2019,226.6
Aug 2019,251.4
Sep 2019,208.4
Oct 2019,202.8
Nov 2019,50.8
Dec 2019,293.2
Jan 2020,314.2
Feb 2020,313.2
Mar 2020,200.2
Apr 2020,82.6
May 2020,187.8
Jun 2020,156
Jul 2020,231.4
Aug 2020,76
Sep 2020,216.8
Oct 2020,297.6
Nov 2020,211.8
Dec 2020,165.8
Jan 2021,269.6
Feb 2021,75.6
Mar 2021,250.4
Apr 2021,73.6
May 2021,69.2
Jun 2021,55
Jul 2021,82.8
Aug 2021,71.8
Sep 2021,142
Oct 2021,318.8
Nov 2021,432.6
Dec 2021,173
Jan 2022,265.8
Feb 2022,315.2
Mar 2022,33.8
Apr 2022,141.6
May 2022,219.6
Jun 2022,100.4
Jul 2022,173
Aug 2022,84.6
Sep 2022,186
Oct 2022,192.2
Nov 2022,166
Dec 2022,177.6
Jan 2023,211
Feb 2023,238
Mar 2023,137.6
Apr 2023,84
May 2023,62.4
Jun 2023,100
Jul 2023,236
Aug 2023,137.6
Sep 2023,259.2
Oct 2023,165.2
Nov 2023,122.4
Dec 2023,343
Jan 2024,230.6
Feb 2024,225
Mar 2024,113.8
Apr 2024,135.6
May 2024,45.6
Jun 2024,264.6
Jul 2024,127.4
Aug 2024,202.8
Sep 2024,132.6
Oct 2024,153
Nov 2024,167
Dec 2024,353.2
Jan 2025,103.4
Feb 2025,85.2
Mar 2025,123.6
Apr 2025,49.6
May 2025,26.8
