Timestamp,Value
Jun 2015,84.6
Jul 2015,140.6
Aug 2015,148.2
Sep 2015,43.6
Oct 2015,154.2
Nov 2015,266.8
Dec 2015,262
Jan 2016,217.4
Feb 2016,208.8
Mar 2016,81
Apr 2016,133.4
May 2016,74
Jun 2016,89
Jul 2016,118.6
Aug 2016,102
Sep 2016,102.4
Oct 2016,58
Nov 2016,140.8
Dec 2016,85.8
Jan 2017,157.6
Feb 2017,186.2
Mar 2017,150.4
Apr 2017,55.8
May 2017,71.8
Jun 2017,190.8
Jul 2017,178.2
Aug 2017,182
Sep 2017,242.8
Oct 2017,227.2
Nov 2017,227.2
Dec 2017,173.4
Jan 2018,242.6
Feb 2018,159.4
Mar 2018,115.8
Apr 2018,87.6
May 2018,59.6
Jun 2018,69.6
Jul 2018,88.8
Aug 2018,157.6
Sep 2018,141.2
Oct 2018,140.6
Nov 2018,225.2
Dec 2018,148.4
Jan 2019,115.2
Feb 2019,105.6
Mar 2019,218
Apr 2019,90
May 2019,102.4
Jun 2019,87
Jul 2019,133.6
Aug 2019,213
Sep 2019,176
Oct 2019,147.2
Nov 2019,105.4
Dec 2019,156.8
Jan 2020,124.8
Feb 2020,242
Mar 2020,90.8
Apr 2020,50
May 2020,54.8
Jun 2020,175.6
Jul 2020,221.8
Aug 2020,161.2
Sep 2020,181.4
Oct 2020,300.2
Nov 2020,270
Dec 2020,173.2
Jan 2021,189
Feb 2021,160
Mar 2021,117.4
Apr 2021,16.4
May 2021,100
Jun 2021,35.8
Jul 2021,30.4
Aug 2021,128
Sep 2021,146.4
Oct 2021,299
Nov 2021,187.6
Dec 2021,175
Jan 2022,97
Feb 2022,245
Mar 2022,88.6
Apr 2022,111.4
May 2022,122
Jun 2022,150.8
Jul 2022,93
Aug 2022,89.2
Sep 2022,221.6
Oct 2022,251.4
Nov 2022,202.6
Dec 2022,130
Jan 2023,208.2
Feb 2023,72.6
Mar 2023,210
Apr 2023,97.2
May 2023,60.8
Jun 2023,85.2
Jul 2023,273.4
Aug 2023,77.6
Sep 2023,169.4
Oct 2023,77
Nov 2023,203.8
Dec 2023,315
Jan 2024,94
Feb 2024,148.8
Mar 2024,143.4
Apr 2024,185
May 2024,124.8
Jun 2024,109.2
Jul 2024,77.2
Aug 2024,284.6
Sep 2024,60.6
Oct 2024,145.4
Nov 2024,91.6
Dec 2024,195.6
Jan 2025,87.8
Feb 2025,104
Mar 2025,64.8
Apr 2025,44.2
May 2025,14
