Timestamp,Value
Jun 2015,48.8
Jul 2015,134.8
Aug 2015,30.4
Sep 2015,20.4
Oct 2015,26.4
Nov 2015,200
Dec 2015,251
Jan 2016,171.2
Feb 2016,111.2
Mar 2016,42.8
Apr 2016,71.2
May 2016,46.4
Jun 2016,43.6
Jul 2016,94
Aug 2016,61.2
Sep 2016,64.6
Oct 2016,26.8
Nov 2016,68.4
Dec 2016,74
Jan 2017,46.6
Feb 2017,88.2
Mar 2017,72.4
Apr 2017,18.4
May 2017,42.4
Jun 2017,121.8
Jul 2017,74.4
Aug 2017,81.2
Sep 2017,63.6
Oct 2017,87
Nov 2017,67.8
Dec 2017,72.6
Jan 2018,134.8
Feb 2018,51.2
Mar 2018,47.4
Apr 2018,66
May 2018,25.4
Jun 2018,61
Jul 2018,48.8
Aug 2018,57.8
Sep 2018,72.8
Oct 2018,58
Nov 2018,91.2
Dec 2018,55.8
Jan 2019,24.2
Feb 2019,43.6
Mar 2019,130.8
Apr 2019,30.4
May 2019,36.4
Jun 2019,60.2
Jul 2019,54
Aug 2019,124
Sep 2019,87
Oct 2019,109.6
Nov 2019,46.4
Dec 2019,120.6
Jan 2020,116.4
Feb 2020,223.2
Mar 2020,76
Apr 2020,6.8
May 2020,26.8
Jun 2020,95.6
Jul 2020,93.4
Aug 2020,111.4
Sep 2020,48.8
Oct 2020,103.8
Nov 2020,83.2
Dec 2020,121.6
Jan 2021,107.2
Feb 2021,70.8
Mar 2021,75
Apr 2021,5.8
May 2021,91.2
Jun 2021,21
Jul 2021,36.4
Aug 2021,60.4
Sep 2021,83
Oct 2021,116.8
Nov 2021,54.2
Dec 2021,73
Jan 2022,48.8
Feb 2022,168
Mar 2022,38
Apr 2022,30.7
May 2022,55
Jun 2022,44.6
Jul 2022,26
Aug 2022,61.6
Sep 2022,90.6
Oct 2022,141
Nov 2022,102
Dec 2022,111.8
Jan 2023,121.8
Feb 2023,29.2
Mar 2023,74.8
Apr 2023,39
May 2023,30.8
Jun 2023,66.4
Jul 2023,85.4
Aug 2023,39.6
Sep 2023,120.8
Oct 2023,80
Nov 2023,70
Dec 2023,113.2
Jan 2024,105
Feb 2024,72.2
Mar 2024,88.6
Apr 2024,92.2
May 2024,115.8
Jun 2024,63.2
Jul 2024,77
Aug 2024,119.6
Sep 2024,42.2
Oct 2024,56.6
Nov 2024,36
Dec 2024,80.8
Jan 2025,42.4
Feb 2025,44.2
Mar 2025,37.4
Apr 2025,24.4
May 2025,8.2
