Timestamp,Value
Sep 2015,47.8
Oct 2015,82.8
Nov 2015,237.8
Dec 2015,217.6
Jan 2016,181.6
Feb 2016,107.2
Mar 2016,76.2
Apr 2016,85.2
May 2016,57.4
Jun 2016,62.8
Jul 2016,205
Aug 2016,162.8
Sep 2016,107.8
Oct 2016,68.2
Nov 2016,140.2
Dec 2016,155.6
Jan 2017,162.6
Feb 2017,93
Mar 2017,138
Apr 2017,187.6
May 2017,62.2
Jun 2017,108.6
Jul 2017,86.2
Aug 2017,133.2
Sep 2017,124.6
Oct 2017,215.6
Nov 2017,293.8
Dec 2017,244
Jan 2018,170
Feb 2018,86.6
Mar 2018,100.4
Apr 2018,57.2
May 2018,34.4
Jun 2018,44.6
Jul 2018,81.2
Aug 2018,122.8
Sep 2018,215
Oct 2018,293.2
Nov 2018,54.4
Dec 2018,117
Jan 2019,262
Feb 2019,88.8
Mar 2019,196.4
Apr 2019,53.8
May 2019,121.6
Jun 2019,87
Jul 2019,172.2
Aug 2019,200.2
Sep 2019,147.6
Oct 2019,122
Nov 2019,43.6
Dec 2019,222.6
Jan 2020,239.2
Feb 2020,265
Mar 2020,126.4
Apr 2020,42.4
May 2020,121.4
Jun 2020,115.4
Jul 2020,160
Aug 2020,39.2
Sep 2020,130.2
Oct 2020,225.6
Nov 2020,158.4
Dec 2020,129.2
Jan 2021,225.4
Feb 2021,54.2
Mar 2021,170.4
Apr 2021,64.2
May 2021,71.8
Jun 2021,33.8
Jul 2021,82.8
Aug 2021,64
Sep 2021,107.6
Oct 2021,274.4
Nov 2021,371.2
Dec 2021,118
Jan 2022,149.8
Feb 2022,239.6
Mar 2022,26.4
Apr 2022,138.4
May 2022,137.2
Jun 2022,69.4
Jul 2022,167
Aug 2022,64.8
Sep 2022,132.8
Oct 2022,132.4
Nov 2022,104.2
Dec 2022,144.8
Jan 2023,150.4
Feb 2023,183.8
Mar 2023,109
Apr 2023,67.6
May 2023,43.8
Jun 2023,69
Jul 2023,197.2
Aug 2023,122
Sep 2023,181
Oct 2023,209.2
Nov 2023,103.2
Dec 2023,277.4
Jan 2024,194
Feb 2024,165.4
Mar 2024,89.8
Apr 2024,109.8
May 2024,29.6
Jun 2024,201.6
Jul 2024,118.4
Aug 2024,120.4
Sep 2024,127.2
Oct 2024,133.2
Nov 2024,147.2
Dec 2024,311.6
Jan 2025,104.2
Feb 2025,48.4
Mar 2025,80
Apr 2025,29.8
May 2025,80.4
Jun 2025,122.4
Jul 2025,144
Aug 2025,81.2
