Timestamp,Value
Jun 2015,43.8
Jul 2015,142
Aug 2015,58.2
Sep 2015,20.8
Oct 2015,35.2
Nov 2015,197.2
Dec 2015,177.8
Jan 2016,171.2
Feb 2016,75.6
Mar 2016,25.4
Apr 2016,66.8
May 2016,31.2
Jun 2016,64.2
Jul 2016,85.2
Aug 2016,56.8
Sep 2016,70.8
Oct 2016,43.4
Nov 2016,45.8
Dec 2016,67.6
Jan 2017,26.4
Feb 2017,86.6
Mar 2017,62.4
Apr 2017,4.2
May 2017,32
Jun 2017,122.2
Jul 2017,70.6
Aug 2017,95.2
Sep 2017,74.6
Oct 2017,68.8
Nov 2017,39.4
Dec 2017,54.6
Jan 2018,115.2
Feb 2018,28.4
Mar 2018,86.6
Apr 2018,62.6
May 2018,22.8
Jun 2018,36.4
Jul 2018,48.4
Aug 2018,66
Sep 2018,69.2
Oct 2018,67.8
Nov 2018,123.2
Dec 2018,62.4
Jan 2019,12.6
Feb 2019,46.4
Mar 2019,77.6
Apr 2019,34.6
May 2019,84
Jun 2019,60.2
Jul 2019,97.4
Aug 2019,154
Sep 2019,92.7
Oct 2019,12
Nov 2019,97.4
Dec 2019,107.4
Jan 2020,107
Feb 2020,214.4
Mar 2020,60.4
Apr 2020,10
May 2020,28.6
Jun 2020,68.4
Jul 2020,101.8
Aug 2020,176.2
Sep 2020,77.4
Oct 2020,130.2
Nov 2020,4.8
Dec 2020,142.8
Jan 2021,88
Feb 2021,150.8
Mar 2021,84.8
Apr 2021,9.2
May 2021,119
Jun 2021,60
Jul 2021,156.2
Aug 2021,123
Sep 2021,78.4
Oct 2021,187.2
Nov 2021,55.6
Dec 2021,0
Jan 2022,0
Feb 2022,0
Mar 2022,19.4
Apr 2022,38
May 2022,62.6
Jun 2022,47.6
Jul 2022,44.4
Aug 2022,113
Sep 2022,114.6
Oct 2022,134.4
Nov 2022,146.2
Dec 2022,125
Jan 2023,104.2
Feb 2023,36.8
Mar 2023,131.6
Apr 2023,41.8
May 2023,14
Jun 2023,70.6
Jul 2023,128.4
Aug 2023,66.8
Sep 2023,114.6
Oct 2023,266.4
Nov 2023,89.8
Dec 2023,184.2
Jan 2024,131
Feb 2024,83.4
Mar 2024,106.6
Apr 2024,124
May 2024,103.2
Jun 2024,50.4
Jul 2024,53.8
Aug 2024,125.2
Sep 2024,35
Oct 2024,89.8
Nov 2024,45.2
Dec 2024,123.4
Jan 2025,61.6
Feb 2025,56.6
Mar 2025,60.6
Apr 2025,25.6
May 2025,20.8
