Timestamp,Value
Sep 2015,93.2
Oct 2015,144.8
Nov 2015,218.2
Dec 2015,379.8
Jan 2016,218.4
Feb 2016,253
Mar 2016,183.8
Apr 2016,125.4
May 2016,86.8
Jun 2016,107.4
Jul 2016,210.4
Aug 2016,244
Sep 2016,268.2
Oct 2016,68.2
Nov 2016,214
Dec 2016,291.2
Jan 2017,144.4
Feb 2017,182.8
Mar 2017,155
Apr 2017,101
May 2017,51.6
Jun 2017,93.6
Jul 2017,153
Aug 2017,254
Sep 2017,184.8
Oct 2017,242.4
Nov 2017,218.6
Dec 2017,196.6
Jan 2018,237
Feb 2018,167.6
Mar 2018,105
Apr 2018,108.8
May 2018,84.4
Jun 2018,76.6
Jul 2018,103
Aug 2018,163.6
Sep 2018,253.6
Oct 2018,222.2
Nov 2018,165.4
Dec 2018,199.8
Jan 2019,157.4
Feb 2019,197.2
Mar 2019,198.6
Apr 2019,59.4
May 2019,76.8
Jun 2019,109
Jul 2019,166.2
Aug 2019,252.2
Sep 2019,181.6
Oct 2019,244.6
Nov 2019,56.2
Dec 2019,315.2
Jan 2020,301.6
Feb 2020,230
Mar 2020,255.8
Apr 2020,42.6
May 2020,86.8
Jun 2020,108.8
Jul 2020,133
Aug 2020,63.8
Sep 2020,229.4
Oct 2020,258.2
Nov 2020,214
Dec 2020,263.8
Jan 2021,121.4
Feb 2021,161
Mar 2021,187.8
Apr 2021,66.6
May 2021,67.2
Jun 2021,75.2
Jul 2021,42.2
Aug 2021,107.2
Sep 2021,188.6
Oct 2021,300
Nov 2021,252.2
Dec 2021,227
Jan 2022,184.2
Feb 2022,229.2
Mar 2022,82.2
Apr 2022,145.2
May 2022,210.6
Jun 2022,138.2
Jul 2022,105.6
Aug 2022,139.6
Sep 2022,166
Oct 2022,253.4
Nov 2022,370
Dec 2022,174.8
Jan 2023,244.4
Feb 2023,140.4
Mar 2023,161.8
Apr 2023,115.4
May 2023,62.4
Jun 2023,78.4
Jul 2023,121.4
Aug 2023,132
Sep 2023,231.6
Oct 2023,173.4
Nov 2023,128.2
Dec 2023,278.4
Jan 2024,214.8
Feb 2024,173.6
Mar 2024,128.8
Apr 2024,126
May 2024,45
Jun 2024,106.4
Jul 2024,130.8
Aug 2024,323.8
Sep 2024,94.4
Oct 2024,221
Nov 2024,203.4
Dec 2024,306.2
Jan 2025,165.4
Feb 2025,188.2
Mar 2025,137.4
Apr 2025,100
May 2025,74.2
Jun 2025,143.2
Jul 2025,106
Aug 2025,150.2
