Timestamp,Value
Jun 2015,35.2
Jul 2015,112
Aug 2015,74.6
Sep 2015,36.6
Oct 2015,68.4
Nov 2015,89.2
Dec 2015,122.4
Jan 2016,84.2
Feb 2016,40.4
Mar 2016,19.4
Apr 2016,94.4
May 2016,22
Jun 2016,78
Jul 2016,89.4
Aug 2016,45.6
Sep 2016,42.6
Oct 2016,66.6
Nov 2016,41.4
Dec 2016,36.6
Jan 2017,35
Feb 2017,67.4
Mar 2017,60.4
Apr 2017,10.6
May 2017,39.6
Jun 2017,114.2
Jul 2017,46.2
Aug 2017,92.2
Sep 2017,75.6
Oct 2017,43.8
Nov 2017,63.4
Dec 2017,34.8
Jan 2018,62.4
Feb 2018,28.2
Mar 2018,132
Apr 2018,48.2
May 2018,40
Jun 2018,36.4
Jul 2018,61
Aug 2018,58
Sep 2018,35.4
Oct 2018,74
Nov 2018,89.6
Dec 2018,50
Jan 2019,23
Feb 2019,27.4
Mar 2019,72.6
Apr 2019,31.6
May 2019,85.8
Jun 2019,58.6
Jul 2019,84.6
Aug 2019,91.2
Sep 2019,65.6
Oct 2019,399
Nov 2019,173
Dec 2019,59.8
Jan 2020,30
Feb 2020,116
Mar 2020,26
Apr 2020,8.2
May 2020,27.6
Jun 2020,53.8
Jul 2020,98
Aug 2020,137.6
Sep 2020,35.6
Oct 2020,208.8
Nov 2020,46.2
Dec 2020,100.8
Jan 2021,80.4
Feb 2021,119.2
Mar 2021,37.6
Apr 2021,16.8
May 2021,152.2
Jun 2021,19
Jul 2021,40
Aug 2021,78
Sep 2021,74.4
Oct 2021,109.2
Nov 2021,37.8
Dec 2021,91.4
Jan 2022,14.8
Feb 2022,73.2
Mar 2022,32.8
Apr 2022,36.4
May 2022,48.2
Jun 2022,23.4
Jul 2022,25
Aug 2022,37.4
Sep 2022,89
Oct 2022,89.6
Nov 2022,140
Dec 2022,103.2
Jan 2023,45
Feb 2023,23.8
Mar 2023,67.8
Apr 2023,54.2
May 2023,34.4
Jun 2023,44.8
Jul 2023,103.6
Aug 2023,55
Sep 2023,75.8
Oct 2023,208.2
Nov 2023,117.2
Dec 2023,193
Jan 2024,68.6
Feb 2024,51.8
Mar 2024,90.2
Apr 2024,100.4
May 2024,66.2
Jun 2024,37.2
Jul 2024,39.6
Aug 2024,66.8
Sep 2024,14.8
Oct 2024,72.8
Nov 2024,34.6
Dec 2024,80
Jan 2025,37.8
Feb 2025,44.8
Mar 2025,21.4
Apr 2025,11.6
May 2025,0.4
