Timestamp,Value
Jun 2015,111.2
Jul 2015,148.4
Aug 2015,116.4
Sep 2015,41.4
Oct 2015,94.6
Nov 2015,90
Dec 2015,298.6
Jan 2016,210.2
Feb 2016,163.2
Mar 2016,78
Apr 2016,114.8
May 2016,70.8
Jun 2016,57.8
Jul 2016,150
Aug 2016,164.2
Sep 2016,161.2
Oct 2016,62.8
Nov 2016,139.2
Dec 2016,162
Jan 2017,136.6
Feb 2017,157.6
Mar 2017,199.2
Apr 2017,75.4
May 2017,55.4
Jun 2017,152.4
Jul 2017,112.8
Aug 2017,180
Sep 2017,203.8
Oct 2017,239.4
Nov 2017,211.4
Dec 2017,133
Jan 2018,251.4
Feb 2018,106.6
Mar 2018,91.8
Apr 2018,72.8
May 2018,56.4
Jun 2018,54
Jul 2018,102.8
Aug 2018,134
Sep 2018,197.6
Oct 2018,166.2
Nov 2018,140.6
Dec 2018,150
Jan 2019,125.4
Feb 2019,94.6
Mar 2019,204
Apr 2019,28.4
May 2019,91.6
Jun 2019,96.2
Jul 2019,165
Aug 2019,189.4
Sep 2019,172.4
Oct 2019,172.8
Nov 2019,70
Dec 2019,238.4
Jan 2020,161
Feb 2020,269.8
Mar 2020,95
Apr 2020,17
May 2020,64.8
Jun 2020,125
Jul 2020,180.6
Aug 2020,130.6
Sep 2020,178.4
Oct 2020,203.6
Nov 2020,198
Dec 2020,164.2
Jan 2021,188.8
Feb 2021,95.2
Mar 2021,111.4
Apr 2021,32
May 2021,60
Jun 2021,51.8
Jul 2021,24.2
Aug 2021,52.4
Sep 2021,41
Oct 2021,215.4
Nov 2021,135.2
Dec 2021,152.8
Jan 2022,123.8
Feb 2022,243
Mar 2022,49
Apr 2022,102.4
May 2022,98.6
Jun 2022,88.4
Jul 2022,107
Aug 2022,30.4
Sep 2022,103.8
Oct 2022,186.8
Nov 2022,124.6
Dec 2022,131.2
Jan 2023,159.2
Feb 2023,75
Mar 2023,142.6
Apr 2023,80.6
May 2023,29.8
Jun 2023,101.4
Jul 2023,200
Aug 2023,76.6
Sep 2023,201.8
Oct 2023,164
Nov 2023,169.2
Dec 2023,264.6
Jan 2024,125.6
Feb 2024,204.2
Mar 2024,81.4
Apr 2024,141.4
May 2024,53
Jun 2024,69.8
Jul 2024,89.4
Aug 2024,247.2
Sep 2024,54.8
Oct 2024,113.8
Nov 2024,80.8
Dec 2024,203.6
Jan 2025,53.8
Feb 2025,63.8
Mar 2025,64
Apr 2025,34.2
May 2025,22
