Timestamp,Value
Jun 2015,112.2
Jul 2015,154.6
Aug 2015,102
Sep 2015,57.2
Oct 2015,99
Nov 2015,276.6
Dec 2015,271.2
Jan 2016,259.2
Feb 2016,208.6
Mar 2016,91
Apr 2016,98.2
May 2016,88.4
Jun 2016,83
Jul 2016,225.8
Aug 2016,148.6
Sep 2016,132.4
Oct 2016,85.2
Nov 2016,169.2
Dec 2016,226.8
Jan 2017,176.2
Feb 2017,133
Mar 2017,147.8
Apr 2017,155.6
May 2017,53.2
Jun 2017,161
Jul 2017,101.2
Aug 2017,162.4
Sep 2017,111.2
Oct 2017,276.2
Nov 2017,293
Dec 2017,234.4
Jan 2018,234
Feb 2018,98
Mar 2018,110.4
Apr 2018,71
May 2018,37.4
Jun 2018,79.2
Jul 2018,53
Aug 2018,114.2
Sep 2018,270
Oct 2018,308.6
Nov 2018,84
Dec 2018,165.2
Jan 2019,250
Feb 2019,110.6
Mar 2019,235.6
Apr 2019,56
May 2019,143.4
Jun 2019,91.6
Jul 2019,214
Aug 2019,219
Sep 2019,168.4
Oct 2019,160.6
Nov 2019,71
Dec 2019,243.2
Jan 2020,302.2
Feb 2020,304.6
Mar 2020,154.6
Apr 2020,48.2
May 2020,155.2
Jun 2020,112.2
Jul 2020,141.6
Aug 2020,41
Sep 2020,142.2
Oct 2020,238.4
Nov 2020,159.8
Dec 2020,144
Jan 2021,174
Feb 2021,46.4
Mar 2021,213.4
Apr 2021,82.2
May 2021,94
Jun 2021,38.6
Jul 2021,111.6
Aug 2021,67.2
Sep 2021,118.6
Oct 2021,261.4
Nov 2021,358.4
Dec 2021,141
Jan 2022,231.2
Feb 2022,292.4
Mar 2022,26
Apr 2022,129.6
May 2022,161
Jun 2022,74.6
Jul 2022,156
Aug 2022,102.2
Sep 2022,142.4
Oct 2022,163.8
Nov 2022,149.4
Dec 2022,124
Jan 2023,176.6
Feb 2023,231.2
Mar 2023,148
Apr 2023,86.2
May 2023,61.8
Jun 2023,85.2
Jul 2023,206.8
Aug 2023,127.2
Sep 2023,204
Oct 2023,267.2
Nov 2023,113.4
Dec 2023,312.2
Jan 2024,168.8
Feb 2024,216.4
Mar 2024,108.8
Apr 2024,129
May 2024,42.2
Jun 2024,175
Jul 2024,90.6
Aug 2024,158.6
Sep 2024,109.2
Oct 2024,136.2
Nov 2024,106
Dec 2024,340.8
Jan 2025,97.6
Feb 2025,57.2
Mar 2025,99.6
Apr 2025,27.8
May 2025,7.6
