Timestamp,Value
Sep 2015,48.6
Oct 2015,168.6
Nov 2015,367
Dec 2015,585.8
Jan 2016,325.2
Feb 2016,132
Mar 2016,105
Apr 2016,130.2
May 2016,124
Jun 2016,93.6
Jul 2016,138.8
Aug 2016,118.8
Sep 2016,289.2
Oct 2016,54.2
Nov 2016,6.6
Dec 2016,203.2
Jan 2017,110.2
Feb 2017,221.4
Mar 2017,190.1
Apr 2017,28.6
May 2017,11
Jun 2017,203.6
Jul 2017,138.6
Aug 2017,217.8
Sep 2017,226.8
Oct 2017,253
Nov 2017,138.8
Dec 2017,161.4
Jan 2018,55.8
Feb 2018,110.6
Mar 2018,106.4
Apr 2018,139.4
May 2018,68
Jun 2018,122.4
Jul 2018,101.2
Aug 2018,119
Sep 2018,195.4
Oct 2018,241.6
Nov 2018,328
Dec 2018,166.4
Jan 2019,79.8
Feb 2019,139.8
Mar 2019,196.8
Apr 2019,56.8
May 2019,105.8
Jun 2019,138.6
Jul 2019,124
Aug 2019,310.4
Sep 2019,188.6
Oct 2019,166.2
Nov 2019,104
Dec 2019,335
Jan 2020,342.6
Feb 2020,448
Mar 2020,210.8
Apr 2020,31.4
May 2020,87.8
Jun 2020,195
Jul 2020,158.4
Aug 2020,189.8
Sep 2020,181
Oct 2020,319.6
Nov 2020,283.6
Dec 2020,268.6
Jan 2021,148
Feb 2021,280.4
Mar 2021,242.6
Apr 2021,27.6
May 2021,109.6
Jun 2021,64
Jul 2021,36.2
Aug 2021,67.2
Sep 2021,470.6
Oct 2021,549.8
Nov 2021,147.4
Dec 2021,196
Jan 2022,136.2
Feb 2022,385.4
Mar 2022,104.2
Apr 2022,72.4
May 2022,187.4
Jun 2022,172.6
Jul 2022,118.8
Aug 2022,111.8
Sep 2022,181.8
Oct 2022,379.8
Nov 2022,322.4
Dec 2022,187.8
Jan 2023,321.6
Feb 2023,111.4
Mar 2023,241
Apr 2023,96.4
May 2023,53.8
Jun 2023,93.2
Jul 2023,254.6
Aug 2023,134
Sep 2023,271.4
Oct 2023,239
Nov 2023,148
Dec 2023,329.2
Jan 2024,264
Feb 2024,195.6
Mar 2024,168.8
Apr 2024,197.4
May 2024,127.4
Jun 2024,94
Jul 2024,68.4
Aug 2024,231.4
Sep 2024,58.8
Oct 2024,186.8
Nov 2024,136.4
Dec 2024,308.6
Jan 2025,127.6
Feb 2025,221
Mar 2025,106.6
Apr 2025,70
May 2025,115
Jun 2025,136.4
Jul 2025,87
Aug 2025,146.2
